ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
5,/10,https://www.imdb.com/review/rw8879122/?ref_=tturv_perm_1,"It's been a while now, but the MCU has really run out of gas....","Well it's happened. The MCU has run out of gas. The last few MCU films have been lackluster at best. Not counting the sort of stand alone Spider-Man No Way Home. Ant-Man and the Wasp: Quantumania is supposed to start the Phase 5 of this thing and if it goes on like this it's going to get worse!!! This film is of course competently made, looks good and is not horrible but is completely uninspired and like pretty much everything out of the MCE factory since Endgame it's totally forgettable. The reason that the MCU was so successful is that the films had characters we cared about. Stakes were there, of course they were lightoments but there were heroes to root for and some pretty good villains. We cared about what was on the screen. I didn't care at all about what I saw in Quantumania. Not that every film from Iron Man to Endgame was great but they were mostly at least better than average. The two previous Ant-Man films were among the weakest but were still more memorable than this one. The acting in Quantumania is fine but but again no one to really care about. Even Paul Rudd who is usually very engaging seemed just flat and disinterested here. He seems to be phoning it in. The only notable performance is Jonathan Majors as Kang the Conqueror but he alone can't save the film from being a complete snooze fest. I was actually bored fir much if the film.Just below average in an MCU that is just churning out film after film with diminishing results. I think Kevin Feige and company should go back and see what made these films good when they first started. They are getting so formulaic and forgettable.Below average.....Grade: C-",321,66,flicklover,https://www.imdb.com/user/ur0266568/?ref_=tturv_usr_1_t,18-Feb-23,
6,/10,https://www.imdb.com/review/rw8875577/?ref_=tturv_perm_2,A mixed bag,,377,89,cardsrock,https://www.imdb.com/user/ur24373984/?ref_=tturv_usr_2_t,17-Feb-23,Spoiler
6,/10,https://www.imdb.com/review/rw8875140/?ref_=tturv_perm_3,I'm pretty sure this was written by fifth-graders.,"As a huge fan of the first one, and almost as big a fan of the second one, I decided to go all out and see this one in 3D with the 4DX motion and sensory seats. What a let down; sure, sitting in the nicest seats for the best visual, motion and sensory experience was great, but I felt like I was watching a Looney Tunes story, instead of any type of story that is part, or compliments the MCU timeline. This was literally one of Marvel's dullest and most unnecessary movies to date. The entire story was cliched and predictable, and there was more CGI than there was any type of interesting story, let alone one with any substance. Even the normally awesome and hilarious humor in the previous installments was absent in this one. Almost the entire film is taking place inside a CGI story, so there was no need for any movie sets or locations... this was all green-screen nonsense. It's a very generous 6/10 from me, only because I still enjoyed the fun ride in my upgraded seats, although the money spent would've been more fun at an amusement park.",707,195,Top_Dawg_Critic,https://www.imdb.com/user/ur64798417/?ref_=tturv_usr_3_t,17-Feb-23,
,,https://www.imdb.com/review/rw8882567/?ref_=tturv_perm_4,Soulless Waste,"Marvel really has fallen and it can't get up. This is the third legacy character that they've absolutely wasted. In fact, for Doctor Strange, Thor and Ant-Man they not only wasted great established characters but superb casts. Add that they made Kang, the main villain out to be a chump and it appears Marvel has no plan moving forward. Not Kiang the conqueror but Kang the chump.This movie adds to the malaise of poorly written disappointments that is permeated the MCU since Endgame. With one of the worst third acts of any movie in recent history. MODOK use and ""dick"" turn could be the dumbest thing I've ever seen and that's not even a spoiler. He also ended the movie as if they ran out of budget. What an absolute waste.",449,120,jojunno,https://www.imdb.com/user/ur6848692/?ref_=tturv_usr_4_t,20-Feb-23,
6,/10,https://www.imdb.com/review/rw8880155/?ref_=tturv_perm_5,Another one,"New Ant-Man is not a bad movie, but it's repeating current trend that been plaguing new Marvel productions. Main character is just an excuse to introduce few new characters that are definitely going to have their own stories. That makes Paul Rudd's character less important. You don't feel that this is his story. He is just there. And the story is not even that good. You can feel the lack of great characters from previous movies. They were setting the tone of story and we don't even know what happened to them after previous movie. It's hard to believe that the director is the same person who made two prior movies. Adding Kang definitely made this into Kang movie that have Ant-Man in it.",256,67,oszajcakk,https://www.imdb.com/user/ur67005809/?ref_=tturv_usr_5_t,19-Feb-23,
6,/10,https://www.imdb.com/review/rw8875497/?ref_=tturv_perm_6,The Marvel Studios conveyor belt of quantity over quality continues,,477,141,poseyfan,https://www.imdb.com/user/ur83316413/?ref_=tturv_usr_6_t,17-Feb-23,Spoiler
6,/10,https://www.imdb.com/review/rw8875350/?ref_=tturv_perm_7,A bit unfocussed,"I enjoyed watching Quantumania. It's a mostly solid and fairly entertaining movie. But relative to MCU standards, it's a bit underwhelming and feels like more of a throwaway movie than something memorable I will keep coming back to.My biggest issue is that I wasn't fully engaged for at least the first half of the movie. I was enjoying it but I wasn't locked in. The story was unfocussed. When the villain becomes prevalent, the movie jumps a level. But it doesn't completely make up for the much weaker first half.The other thing that surprised me was not being mesmerized by the visuals. It's very creative and I didn't notice poor CGI like some others. But it didn't wow me like it frequently does. Maybe we're just getting spoiled with the visuals in movies like Doctor Strange 2 and more recently Avatar 2.There is still a lot of good here. It's pretty funny but doesn't overdo it. This is the second movie in a row where the MCU seems to have dialed back on the ""insert joke here"" strategy. It's probably a result of the negative reaction from the cartoonish Thor 4. Also, I love the villain. I won't say who in case you're smart (and crazy) like me and don't watch trailers. But he's so damn awesome.As someone who loves almost everything in the MCU, Quantumania is near the bottom of my MCU rankings. And it's making me a little nervous that it comes only two movies after Thor 4 which is below it (5 stars). But I still have faith and am not joining the MCU doom and gloom crowd. Phase 4 has three of my favorite entries in the entire MCU (Shang-Chi, Loki S01, No Way Home) and I only disliked two (Eternals, Thor 4). They just need to be more consistent while also not playing it so safe.(3 viewings, opening Thursday IMAX 2/16/2023, IMAX 2/28/2023, 10/5/2023)",234,93,FeastMode,https://www.imdb.com/user/ur104603847/?ref_=tturv_usr_7_t,17-Feb-23,
6,/10,https://www.imdb.com/review/rw9017450/?ref_=tturv_perm_8,Visually Mostly Stunnig With An Average Story,"Visually quite stunning with delightful and creative designs, shapes, and forms while the storyline is less than original without much in the way of intellectual or emotional, ethical depth of other recent Marvel movies. Apparently this movie was focused on being acceptable to a broad audience range, including young people, Quantumania loses some of its sharp refreshing focus. The created living entities of the quantum universe are more anthropomorphic (human-based) perhaps to be more relatable to children does not reflect the diversity or original forms of life or new-life that would really make this film stellar. As even as special as the set designs and special effects make for a gorgeous setting, there is still room for more crisp, detailed and immersive design work. Some backgrounds end up being mere basic animation projections that do not come up to the level expected of contemporary Marvel productions. Yes, this movie provides an amazing backdrop or canvas and yet the substance and plot of the movie does not rise to the same level. What one ends up with is a movie with a lot of flash but less than satisfactory bite.",53,17,tabuno,https://www.imdb.com/user/ur0972645/?ref_=tturv_usr_8_t,26-Apr-23,
4,/10,https://www.imdb.com/review/rw8884834/?ref_=tturv_perm_9,It all becomes a blur after a while.......,,216,55,FlashCallahan,https://www.imdb.com/user/ur22668817/?ref_=tturv_usr_9_t,21-Feb-23,Spoiler
6,/10,https://www.imdb.com/review/rw8873784/?ref_=tturv_perm_10,Ranks among the MCU's weakest efforts in its execution of both fun and emotional payoffs.,,161,80,MrDHWong,https://www.imdb.com/user/ur18374284/?ref_=tturv_usr_10_t,16-Feb-23,Spoiler
