ipc-title-link-wrapper href,ipc-title__text,ipc-btn__text,ipc-voting__label__text,ipc-voting__dot-separator,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-html-content-inner-div
https://www.imdb.com/review/rw9642038/?ref_=tturv_perm_1,A serious approach,Spoiler,Helpful,•,3,2,lor_,https://www.imdb.com/user/ur1287548/?ref_=tturv_usr_1_t,25-Feb-24,,,
https://www.imdb.com/review/rw8849063/?ref_=tturv_perm_2,some turmoil and new intros,,Helpful,•,2,8,SnoopyStyle,https://www.imdb.com/user/ur2898520/?ref_=tturv_usr_2_t,3-Feb-23,7,/10,"The King is dead. Wakanda is struggling after the unexpected death of King T'Challa. Ramonda (Angela Bassett) takes over as Queen. It's a year later. The outside world is demanding that Wakanda shares its technology and vibranium. Unbeknownst to them, the CIA led by Valentina Allegra de Fontaine (Julia Louis-Dreyfus) has found vibranium buried under the sea. The CIA crew is massacred by Namor (Tenoch Huerta) and his people although Wakanda is blamed. Namor is demanding the death of the inventor of the vibranium detector and that Wakanda join him in a war against the surface.The real world death of Chadwick Boseman has thrown this part of the MCU into turmoil. This movie relies heavily on the acting power of veteran Angela Bassett and she gets an Oscar nomination. Arguably, she leads the movie for the first half despite not being on the action mission. The other big aspects of this movie are the passing of the torch and the introduction of Namor. I am not that enamored with the torch passing. It needs to be done, but it could be better. Quite frankly, I'm not sold on the who. Like so many things, time will tell. Finally, Namor gets introduced into the MCU. He is probably one of the bigger Marvel character to not get something so far. I like his story and his history. Again, time will tell, but this has good potential. After Boseman's death, this will always going to be a memorial service and a patchwork story. Both are done well enough and Angela Bassett really shoulders the load."
https://www.imdb.com/review/rw9180346/?ref_=tturv_perm_3,Below Average Effort,,Helpful,•,1,7,Hitchcoc,https://www.imdb.com/user/ur0278527/?ref_=tturv_usr_3_t,10-Jul-23,6,/10,"I believe movies need to stand on their own merits. The Black Panther film was decent, but except for it being a breakthrough film with a unique cast, was just okay, in my opinion. This one is so inundated with complex elements it's hard to follow who's who and what's what. The science is confusing enough. Like many movies with superheroes, the world in which the characters move has to be grounded in something. This one is grounded in confusion. I'm sure the box office will put out yet another film with this milieu, but the Marvel and DC universes have so oversaturated us that coming up with anything fresh in this genre is really hard. Go ahead and see the movie. I just couldn't find much new or interesting."
https://www.imdb.com/review/rw8919056/?ref_=tturv_perm_4,Building Worlds,,Helpful,•,6,6,boblipton,https://www.imdb.com/user/ur1617546/?ref_=tturv_usr_4_t,11-Mar-23,8,/10,"I am not going to give my usual recounting of the beginning of the story of this movie. If you are a fan of the Marvel Cinematic Universe, you likely have already seen it. If you have no interest in the subject, or have tired of the Matter Of Earth-616, my semi-synopsis would serve no purpose. Instead I am going to make of this review a discussion of one of the primary issues of serious science fiction and high fantasy. I am going to talk about world building, and how movies, being primarily a visual medium accomplish that.In the movies, world-building is done by visual stylists, like Joseph von Sternberg, and nowadays by Benicio del Toro. You can always recognize the works of these two directors. With von Sternberg, it's a matter of the scrim work, the shadows thrown by complicated beadwork, or the curlicues of wood as a drill pokes through elaborately carved woodwork. With del Toro, it's the filled sets, whether it's the Biedermeier furniture, or a tent filled with jars of pickled freaks, or elaborate clockwork mechanisms. In both directors, it's a matter of paying attention to the details, even the details that the audience does not consciously see. For one artist to do it, or even supervise the skilled workers who achieve it, is a wearying and even an insane achievement. Then you must write the story that can be told in that world, and imagine the people who live in that world and enact that story, and find the technicians to put it on film, and the performers to portray them.Is it any wonder that the individual who can do this is so rare, and the misfires so frequent?This movie has a great advantage. First, the world this movie takes place in has been written and drawn, and made into movies by thousands, if not tens of thousands of people over more than eighty years. A world, a society, even a single village, is not made by a single individual. It's made by many people over a length of time. A housing project may be designed by a single man, built by a few. When completed, each unit may be identical. But put people in there, and after a few years, each apartment will be decorated differently, no two alike. That is world-building. It is also one advantage that the Marvel Cinematic Universe has. Every writer, every artist, every technician, every actor has put his or her mark on it, giving that variety that makes up a world that shows that thousand have lived here, if only for a little while. The graveyard has tombstones that have settled and tilted, and the names of the dead erased by wind and water. They are still part of that world.The other advantage that the Marvel Cinematic Universe has is that it is a rich franchise. They spent a quarter of a billion dollars making this movie, hiring many artists and set designers and technicians and skilled actors to dedicate themselves to showing that richness of history and character.And so a world is built well for this movie.You may love this movie. Or you may be utterly indifferent to it. That's fine. There are many movies, many stories which tell tales I am not interested in, or have seen too many times. Tearjerkers do not interest me, although show me a great one and I can appreciate, however coldly, its achievement. World building may not interest you. As an old fan of science fiction and fantasy, I treasure the efforts of those writers and artists, like Hal Clement, Ursula K. Leguin, and Poul Anderson, and M. C. Escher. Each of them could singly build a world that was self-consistent in its own way and make it work to tell a story. Sometimes the story was rote, and sometimes it was poorly told, but the beauty, the artistry, was in building that world. The fact that it took a multitude of people and a fortune to make this movie, does not detract from its successes. In fact, in many ways, it makes it even more impressive."
https://www.imdb.com/review/rw8700800/?ref_=tturv_perm_5,An impressive second movie.,,Helpful,•,28,61,Sleepin_Dragon,https://www.imdb.com/user/ur15311310/?ref_=tturv_usr_5_t,28-Nov-22,8,/10,"The King of Wakanda is dead, and its people face a new threat.If I'm honest, I have to say I wasn't captivated by the first movie, despite the gorgeous visuals and incredible acting, Wakanda forever however, this was a completely different story, I thoroughly enjoyed it. For me, it felt as though The Wakandans had a worthy adversary here, it was a real twist.First off, I loved the way it paid tribute to Chadwick Boseman, the credits were a truly nice touch, his tragic passing was very sensitively dealt with.High energy, action packed, this truly was a visual masterpiece, the production team absolutely nailed it. Great music also, it worked with the film, it never clashed with it, or felt overdone.The acting was quite something, terrific in every corner, two powerhouse performances stood out for me though, Laetitia Wright and Tenoch Huerta, the pair were just incredible, their scenes together were captivating.Really enjoyed it, 8/10."
https://www.imdb.com/review/rw8852953/?ref_=tturv_perm_6,Black Panther: Wakanda Forever,,Helpful,•,3,7,Prismark10,https://www.imdb.com/user/ur4569900/?ref_=tturv_usr_6_t,5-Feb-23,5,/10,Black Panther was really Rocky 3. Directed by Ryan Coogler who rebooted the boxing franchise with Creed.Marvel bosses were left with a headache. Black Panther was a box office feline monster that snagged a best Picture Oscar nomination.The premature death of Chadwick Boseman meant a detour for the sequel.The movie begins with the death of King T'Challa. His mother Ramonda (Angela Bassett) takes over as Queen and she grieves for her son. A year later Ramonda believes she has lost her daughter Shuri (Letitia Wright.)She was on a mission in America to retrieve a young genius scientist Riri Williams still a MIT student. She has created a Vibranium detector that the Americans are using.It has disturbed a civilisation beneath the ocean led by Namor. They too have Vibranium technology and want Riri dead. His actions have brought pressure on Wakanda.The CIA believe that the Wakandans are to blame. Namor hates the surface people.The movie is a bloated mess. There was no going away from the fact the shock death of Boseman left Marvel Films with a creative headache.Letitia Wright who had to be kept off social media due to her ultra religious and anti vax views was never going to be a convincing replacement.Some of the scripting was bad. Agent Everett K Ross (Martin Freeman) finding something important as soon as he arrives at a crime scene when others who were there longer did not. Yet he did not smell a rat.The special effects looked shoddy as well. I did not expect such obvious CGI in places.
https://www.imdb.com/review/rw8678438/?ref_=tturv_perm_7,BPF (or Way of the (A)water),,Helpful,•,6,26,kosmasp,https://www.imdb.com/user/ur5876717/?ref_=tturv_usr_7_t,16-Nov-22,9,/10,"Like BFF - but different, so no pun intended I reckon? In case it is unclear: Black Panther Forever as in Best Friends Forever. You very likely have heard of the latter - I made up the former. And while it may feel like I am sort of answering the main question here ... I really am not. The title is even going that extra mile to avoid the question ... of the successor.Now I do assume you have seen the first movie ... and while this of course is playing in the MCU and it makes sense to know all the other entries in that world too ... the one that is most important is the first Black Panther movie. As you may or may not know, Chadwick Boseman passed away (apparently no one knew he was ill while he was out there filming as much things as he could).That leaves quite the big shadow (or shoes) to fill. And the question is if anyone is going to ... and if so ... who that person is going to be. I think you will be able to determine to answer those questions for yourself ... way before the movie is over.That all being said and while this is not the first anything (something that the marketing department was adamant to stress out while the first movie was released), the impact this is having for POC and their perception and how they feel about movies and superheroes is probably something that cannot be measured. Kudos to the Ryan and all involved for making this.It may not further a lot of other things in the MCU (I am surprised this is bookmarked as end of phase 4), but it is quite focused on its story. Having a lot and enough shockers to keep you on the edge of your seat. The action choreography is good, some slow motion may feel weird I reckon ... but it works wonders overall.This is being released in November with Avatar 2 coming out in December - both featuring water a lot ... and ""blue (wo)men"". Not sure if there are even more connections ... well both being released by Disney and having fantastical elements to them of course.This has a strong female component to it. Way more than the first had, which already was filled with it. Great acting too - and a new enemy/friend buried deep and therefor never seen before ... on shore (more puns you say?).The 160 minutes went by like nothing. Not that everything felt like it went smoothly or without any hiccups, but if you suspend your disbelief or have drank the kool-aid like I did ... well you will like it. For a friend of mine who watched this with me (Imax 3D no less), this was the best one after the Spiderman movie in this phase. I have not thought too much about it, but there might be some common ground I share with him on that.Technically looking good and the CGI works overall (although in shots from farther away you can still see when character move way too fast and ""unnatural"") ... I doubt it will be able to hold a candle to Avatar 2 ... the preview alone made me feel like this will set new bars that no one will be able to reach (the first one still is the best 3D movie out there ... 14 years later!) ... Black and Blue Panther ... with enough jokes, drama and action to keep you interested all the time."
https://www.imdb.com/review/rw8690161/?ref_=tturv_perm_8,New cat on the block,Spoiler,Helpful,•,1,11,Horst_In_Translation,https://www.imdb.com/user/ur3914439/?ref_=tturv_usr_8_t,23-Nov-22,6,/10,
https://www.imdb.com/review/rw8677054/?ref_=tturv_perm_9,There is someone else,Spoiler,Helpful,•,9,13,nogodnomasters,https://www.imdb.com/user/ur77881167/?ref_=tturv_usr_9_t,16-Nov-22,5,/10,
https://www.imdb.com/review/rw8851513/?ref_=tturv_perm_10,Slow paced and way too long...,,Helpful,•,6,5,paul_haakonsen,https://www.imdb.com/user/ur22654354/?ref_=tturv_usr_10_t,4-Feb-23,5,/10,"While I am not overly keen on superhero movies, then I still watch them when able, as they tend to be visually impressive movies. And superhero movies also tend to be movies where you just switch off the brain, lean back and munch on a snack while watching the action, something that is required to unwind from time to time.I found the 2018 ""Black Panther"" movie to be adequately entertaining, so of course I also opted to watch the 2022 sequel ""Black Panther: Wakanda Forever"" as I had the opportunity. Though such a movie is hardly worth a cinema admission ticket in my opinion.""Black Panther: Wakanda Forever"" was not as entertaining as the 2018 predecessor. The narrative in ""Black Panther: Wakanda Forever"" was simply too montonous, slow paced and dragged on for a long time whilst setting up the stage for a showdown between Wakanda and Namor. Lots of talking and character building going on for about two-thirds of the movie, and the showdown was the final third act of the movie. While the action and fighting was fun to watch, it didn't make up for the long two-thirds that laid before it.It was becoming a struggle to keep focus on the screen and keep being interested in the narrative here, at least for me, since there wasn't enough of any action in the first two-thirds of the movie. I was expecting a Marvel superhero movie with lots of action and punches being thrown, and I wasn't in the mindset for a political drama with a lot of character building and setting the stage.The acting performances in the movie were good, but the movie was suffering from not having Chadwick Boseman in the role as the Black Panther. It should be noted, though, that the cast ensemble was good and they had a lot of talented actors and actresses on the cast list.Visually then ""Black Panther: Wakanda Forever"" was good, as Marvel superhero movie usually are. So at least tyou're in for a visual treat. But visuals can only do so much for lifting up a lacking narrative.Running at 2 hours and 41 minutes, and without a properly entertaining script, then ""Black Panther: Wakanda Forever"" was a long and somewhat monotonous affair to sit through. So I guess the 'forever' part of the title was a hint at the narrative as well.""Black Panther: Wakanda Forever"" is a movie for the fans of the superhero genre, no doubt about it. And for us casual viewers, it was somewhat of a stale foray into the ""Black Panther"" franchise.My rating of director Ryan Coogler's 2022 movie ""Black Panther: Wakanda Forever"" lands on a five out of ten stars."
https://www.imdb.com/review/rw8820942/?ref_=tturv_perm_11,"""T'Challa is dead, but that does not mean that he is gone.""",Spoiler,Helpful,•,4,14,classicsoncall,https://www.imdb.com/user/ur2707735/?ref_=tturv_usr_11_t,23-Jan-23,7,/10,
https://www.imdb.com/review/rw8697894/?ref_=tturv_perm_12,Black Panther: Wakanda Forever,Spoiler,Helpful,•,2,12,jboothmillard,https://www.imdb.com/user/ur4248714/?ref_=tturv_usr_12_t,27-Nov-22,7,/10,
