ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__text,ipc-voting__dot-separator,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
7,/10,https://www.imdb.com/review/rw10045545/?ref_=tturv_perm_1,"multiverse, irreverence, nostalgia, and my way out","Deadpool (Ryan Reynolds) is living an empty life after breaking up with Vanessa. The Time Variance Authority captures him and Paradox (Matthew Macfadyen) intends to destroy his universe. He escapes and recruits the worst Wolverine (Hugh Jackman).The Multiverse strikes again. My first impression is that none of this matters. There is an infinite number of everything and there is no stakes in any of this. As the movie goes on, I find some fun in Deadpool pulling references and not treating the multiverse so seriously. Then comes all the old movie versions and it's fun nostalgia. I started hoping that Deadpool would end the multiverse. If I have a vote, that's the next movie. Feige could be the big bad and Deadpool could burn down Marvel headquarters. After that, they would have to restart the MCU.",Helpful,•,4,2,SnoopyStyle,https://www.imdb.com/user/ur2898520/?ref_=tturv_usr_1_t,3-Oct-24,
8,/10,https://www.imdb.com/review/rw9976428/?ref_=tturv_perm_2,A whole lot of fun,"DEADPOOL & WOLVERINE, the third in the Ryan Reynolds-starring series, pulls out all the stops by teaming up the wisecracking superhero with none other than Hugh Jackman's Wolverine, who we all thought was finished after the events of LOGAN. Well, I'm glad he came back for another stab at the role, because this is the funniest and most frenetic superhero movie I've seen since THE SUICIDE SQUAD. Reynolds is on fine form here and Jackman is even better, stealing all of his scenes as the increasingly weary antihero. The plot is nondescript, but the endless cameos are particularly welcome and the sheer amount of screen carnage counts for plenty. Jolly good fun!",Helpful,•,2,3,Leofwine_draca,https://www.imdb.com/user/ur0482513/?ref_=tturv_usr_2_t,26-Aug-24,
7,/10,https://www.imdb.com/review/rw10041150/?ref_=tturv_perm_3,Deadpool & Wolverine,"Welcome to Disney's MCU said Deadpool to Wolverine. It is going through a slump.The 20th Century Fox variant of the MCU has been an adrenaline fuelled shot in the arm for Disney. It has delivered big box office.Wade Wilson (Ryan Reynolds) brings his irreverent fourth wall breaking humour with Wolverine (Hugh Jackman) in tow. They need to take down Mr Paradox (Matthew Macfadyen) a renegade from the Time Variance Authority.As well as the forgotten and malevolent sister of Charles Xavier, Cassandra Nova who likes to get her fingers in your face.With the multiverse and a whole host of unexpected cameos. It is a lot of fun. Not all the jokes work but another zips along. The action scenes at times feel lacklustre. The makers all too often want to upstage Mad Max's Furiosa movie.",Helpful,•,2,2,Prismark10,https://www.imdb.com/user/ur4569900/?ref_=tturv_usr_3_t,30-Sep-24,
10,/10,https://www.imdb.com/review/rw9919558/?ref_=tturv_perm_4,Marvel Jesus,"Or is it Jesus ... Marvel? Well no pun intended either way! And no waiting for me either ... when the pre-orders started (quite late in Germany to be honest, compared to when it started in the US), I was not quick enough to get a ticket in the first week of its Imax run. So I thought I'd wait and go watch this on the second weekend ... well the last couple of days and the buzz around the movie, made me think twice! Why not watch it once now and then go again in a week or two!? Last movie I did that? Avengers Endgame - there may be a connection here you say? Well ... you are onto something.All that said, I was a fan of the movies in between - the MCU movies that is. Some more, some less, but I never disliked any of them. I know some feel differently and Deadpool will play into this - you know he will put his finger into anything (although finger putting is being done by someone else here - in a crazier way ... see the movie for more).Just the start of the movie is .. phenomenal to say the least. And I am not talking about the swearing or the action (blood/violence level = high) ... but also the fourth wall breaking! This is just amazing. And it gets even better along the way ... it may take a minute until we get to see Hugh ... but when we finally get to him, we are not getting rid of him.Then there are the cameos ... in the second Deadpool we already had some heavyweights ... and it only gets better from there. Some story related, some just for pure fun. Some really interesting callbacks ... some you may guess wrong once you see them ... especially the first big cameo ... I do not want to reveal say more, but it is just amazing and will blow the roof off ... not to mention what follows.While there is no nudity (apart from upper man body), there is a lot of action and violence! And really grim, dark over the top too. Also quite a lot of swearing ... we may have been accustomed to that kind of talk by Deadpool ... but there are other actors/characters who'll do exactly that ... be aware of that and don't blame the movie if you can't handle that.I've mentioned the cameos ... but I can't let go of how great they are! And that's the reason I will go watch it again - and probably edit my review to add stuff. I will not add any names though ... just thinking of that makes me giddy ... or whatever you would call it. Great soundtrack too.This will definitely be in my top list of the year ... you can blame Marvel and/or DC for many things I reckon ... but you can also take this movie and see there is a lot of good that has been done! I had not seen the trailer that were out ... I wanted to know as little as possible .. and I hope you could watch this with the same mindset ... and just enjoy it on every level (meta and otherwise) ... thank you Ryan, Hugh and Zack! And of course everyone else involved! You all Rock! Had to be said.Edit: watched it a second time and it did not lose any of its greatness (perceived or otherwise). I understand that audiences around the world feel the same way. And many have gone and watched this twice (last movie I did that for in cinemas? Endgame). Some critics on the other hand don't seem to get it.And that's ok, this movie was made for audiences to enjoy, not for high brow or much story behind it. That does not mean it does not go deep at times. Especially when it comes to being a love letter to 20th Century Fox and what it did for Ryan and other Marvel products.I talked about the great intro, but what I didn't know at the time: the song used by Nscync has a deeper meaning (as I alluded in the previous paragraph) ... and it has to do with the manager of the boy band and the song being the first one released after they cut ties with him. There is a documentary that came out recently, if you are interested in that. And the song chosen therefor is anything but a coincidence ... Ryan knows what he is doing.Comic book fans will see a lot of things in this they may love (costume(s) being just one of the many things) ... you can think of Feige what you want, but not many bosses allow their workers to poke so much fun at them and the work they do ... and his heart is in the right place. Same goes for Ryan of course.3D is a nice addition I reckon, especially the beginning ... after that you probably mostly won't notice it. And as always stick around for mid and end credit scenes ... though mid credit is again more of a love letter ... which as crazy and funny as the movie itself is, is really emotional. Rollercoaster ride for sure! Go watch it (if you are of a certain age and don't mind the humor of course)",Helpful,•,26,25,kosmasp,https://www.imdb.com/user/ur5876717/?ref_=tturv_usr_4_t,24-Jul-24,
8,/10,https://www.imdb.com/review/rw9930296/?ref_=tturv_perm_5,Stanley Steamer,,Helpful,•,6,4,nogodnomasters,https://www.imdb.com/user/ur77881167/?ref_=tturv_usr_5_t,31-Jul-24,Spoiler
9,/10,https://www.imdb.com/review/rw9924515/?ref_=tturv_perm_6,Gloriously fun and enjoyable...,"While I am not particularly much a fan of the superhero genre in general, I have to admit that I thoroughly enjoyed the 2006 ""Deadpool"" and the 2018 ""Deadpool 2"" movies. And of course I was definitely looking forward to getting to watch the 2024 ""Deadpool & Wolverine"" movie.But nothing could really have prepared me for the thrill-ride of an adventure that I was in for here. ""Deadpool & Wolverine"" totally takes the franchise to a whole new level in so many ways, and it was phenomenal entertainment from start to end.Writers Ryan Reynolds, Rhett Reese, Paul Wernick, Zeb Wells and Shawn Levy put together a fast paced, enjoyable and entertaining script and storyline. The narrative in the movie is interesting and compelling from the very first scene. The movie starts out in a high paced gear and actually never slows down, which was a rather impressive feat actually; keeping the pace up for 127 minutes straight.Needless to say that having Ryan Reynolds (as Wade Wilson/Deadpool) and Hugh Jackman (as Logan/Wolverine) together on the screen was just pure gold. It was something that I think a lot of people had been looking forward to for a very long time. And believe you me, it was well worth the wait. They carried the movie so nicely on the screen, with their banter, their clashing of heads, fighting and dialogue. It was actually so much fun to watch them getting to duke it out on the screen, both physically and verbally.In addition to Reynolds and Jackman, then ""Deadpool & Wolverine"" has an impressive cast ensemble, and there are some glorious returns of former Marvel characters, which I assume might be getting rebooted since they are in this movie. It is definitely pure gold for fans of the superhero genre, and for people whom have been watching the older Marvel movies throughout the years.The dialogue in the movie, as it was in ""Deadpool"" and ""Deadpool 2"" is hilarious. Lots of great references, puns, jokes and generally just an allround quirky feel to the movie. It is hilarious, because you get to laugh a lot in between all the action.There is an abundance of over-the-top action throughout the course of the movie, and it looks phenomenal on the screen. The action sequences are so well-choreographed and filmed that it borders on being artistic. I was really impressed with that in the movie, because it added so much to the overall enjoyment of the movie.Visually then the movie is great. The movie is just crammed with an abundance of special effects, and it looks phenomenal. And the costumes and props department also deserves a thumbs up for their creativity and what they managed to bring to the screen.""Deadpool & Wolverine"" is better than the previous two ""Deadpool"" movies, and that is definitely a feat in itself. I was blown away by director Shawn Levy's 2024 movie, and it is well-worth the cinema admission ticket. If you enjoyed the previous ""Deadpool"" movies, then you have to treat yourself this this third movie in the franchise. I will go as far as to actually saying that this is the most enjoyable and impressive superhero-themed movies I have seen to this date.My rating of ""Deadpool & Wolverine"" lands on a well-deserved nine out of ten stars.",Helpful,•,7,6,paul_haakonsen,https://www.imdb.com/user/ur22654354/?ref_=tturv_usr_6_t,27-Jul-24,
8,/10,https://www.imdb.com/review/rw9937203/?ref_=tturv_perm_7,Deadpool & Wolverine,,Helpful,•,2,2,jboothmillard,https://www.imdb.com/user/ur4248714/?ref_=tturv_usr_7_t,4-Aug-24,Spoiler
2,/10,https://www.imdb.com/review/rw9922574/?ref_=tturv_perm_8,I'm clearly not a big enough nerd for Deadpool & Wolverine.,"I really hate it when members of an audience make it obvious that they get all of the in-jokes in a film by forcing a knowing laugh at every available opportunity. I'm not that type of person - I sat stony faced throughout Deadpool & Wolverine, despite actually 'getting' some of the references: they simply weren't funny to me. And that's not a good thing when almost the entire film consists of fan-service and self-referential quips.It took me maybe ten minutes to realise that I had made a mistake in going to see this film: the opening gore-drenched fight scene was neither exciting nor funny. And the rest of the film followed suit, as Deadpool (Ryan Reynolds) teams up with Wolverine (Hugh Jackman) to prevent corrupt Time Variance Authority employee Mr. Paradox (Matthew Macfadyen) from deleting his dimension and thus terminating all of his loved ones.Over two hours of mind-numbingly repetitive cartoonish violence and utterly inane humour (I laughed just once, at the ass-slapping during the costume scene), this latest travesty from Marvel is hopefully another nail in the superhero coffin.2.5/10, rounded down to 2 for the ugly dog, who got more screen-time than a lot of the big stars.",Helpful,•,47,58,BA_Harrison,https://www.imdb.com/user/ur0945066/?ref_=tturv_usr_8_t,26-Jul-24,
7,/10,https://www.imdb.com/review/rw9927521/?ref_=tturv_perm_9,Deadpool & Wolverine,"Well the ""Deadpool"" concept is now well and truly immersed in the Marvel multi-verse and I really did fear for good old ""Dead"". More of the same? Well, no actually. Ryan Reynolds has reverted more to the occasionally quite vulgar humour of the first film (2016) and allowed this trequel to focus more on the personality of this irreverent, immortal, superhero as he tries to resurrect the recently departed ""Wolverine/Logan"" (Hugh Jackman) so he can save his timeline from erasure. To do that, and thwart the comically menacing ""Paradox"" (Matthew Macfadyen), he has to face down ""Cassandra Nova"" (Emma Corrin) - who happens to be the long estranged twin sister of ""Xavier"" who presides over the void. That's a ""Mad Max"" style desert style territory where all the undesirables have been put by ""Paradox"" and his organisation over the years. Initially, there's no love lost between our two heroes. The cocky man in red lycra does not impress his new, booze-soaked and guilt-ridden buddy, but quickly they manage to align their priorities and then - well yes, you can guess the rest. Indeed, there's nothing remotely unpredictable about any of this, but what it does do is shout loudly and proudly that it knows it. It's not trying to reinvent the wheel, it's succeeding in pointing out that all of these multi-verse films that simply adjust the space/time continuum to provide a new setting for the same old stories ad characters has to stop before we (the audience) bore further of their repetitive combat cycles and nondescript plot lines. Maybe Reynolds does over-egg the smuttiness a little but there are still plenty of wry comments about the industry, product placement and the plethora of films (and actors) that have preceded it delivering same old same old. It's not forgotten to entertain us too - there are loads of action scenes and there's an amiable chemistry between two actors who are clearly on the same, suitably sarcastic, page throughout a two hours that also features a some fun cameos from the likes of Messrs. Evans, Snipes, Cavill, Favreau and Tatum to keep it moving along with an effervescence of spirit. It's a big screen essential, there's a lot of effort gone into the production that won't work so well on the telly, and I enjoyed it.",Helpful,•,3,4,CinemaSerf,https://www.imdb.com/user/ur107065132/?ref_=tturv_usr_9_t,29-Jul-24,
8,/10,https://www.imdb.com/review/rw9924491/?ref_=tturv_perm_10,Deadpool & Wolverine is a perfect summer popcorn movie that deserves repeat viewings,"Our family saw Deadpool & Wolverine (2024) in theaters last night. The storyline follows the end of existence, with Deadpool being offered a chance to die now or find a happy place to reside until the end. Instead, Deadpool escapes to another world called The Void and seeks help from old friends in the Marvel universe, and hopes to save existence and everyone in it.Directed by Shawn Levy (Free Guy), the film stars Ryan Reynolds (Van Wilder), Hugh Jackman (Logan), Dafne Keen (The Acolyte), Matthew Macfadyen (Succession), and Emma Corrin (The Crown).This was a fun rollercoaster, and you could tell everyone involved put a lot into this film. The characters were a blast to watch, the comedy was colorful, and the cameos were brilliant. There's definitely a lot to like here. The action scenes are well-executed, though a minor gripe is that some fight sequences felt repetitive, and I don't prefer CGI blood, but it is what it is. Seeing all the characters fight together was fun. They definitely had some smart twists with characters, but there were aspects of the story that worked better for me than others. I also think they could have used better villains. Hugh Jackman and Ryan Reynolds were awesome, and their bickering back and forth carries the film. They looked like they had a lot of fun making it. Leslie Uggams (Sugar Hill) killed her performance in this; she always cracks me up. The ending of this movie was great, and I actually think we will be seeing a lot more Wolverine in our future.In conclusion, Deadpool & Wolverine is a perfect summer popcorn movie that deserves repeat viewings. I would score this a 7.5/10 and strongly recommend it.",Helpful,•,6,5,kevin_robbins,https://www.imdb.com/user/ur131783850/?ref_=tturv_usr_10_t,27-Jul-24,
