ipc-rating-star--rating,names
8.0,SnoopyStyle
6.0,Leofwine_draca
10.0,Sleepin_Dragon
7.0,Prismark10
10.0,kosmasp
8.0,Horst_In_Translation
7.0,nogodnomasters
10.0,BandSAboutMovies
6.0,paul_haakonsen
9.0,classicsoncall
8.0,jboothmillard
7.0,studioAT
,TxMike
7.0,blanche-2
8.0,AlsExGal
,Gordon-11
10.0,kevin_robbins
7.0,evanston_dad
7.0,deloudelouvain
10.0,neil-476
9.0,george.schmidt
7.0,FlashCallahan
6.0,gbill-74877
8.0,Pjtaylor-96-138044
10.0,Aaron1375
7.0,SAMTHEBESTEST
8.0,Lejink
9.0,RosanaBotafogo
8.0,siderite
9.0,pixrox1
9.0,snoozejonc
10.0,UniqueParticle
8.0,cjonesas
9.0,FeastMode
,JohnDeSando
9.0,southdavid
8.0,fernandoschiavi
8.0,Jeremy_Urquhart
9.0,thesar-2
7.0,cherold
7.0,lasttimeisaw
8.0,cricketbat
7.0,atlasmb
10.0,ThunderKing6
8.0,lisafordeay
10.0,851222
,CinemaClown
10.0,damianphelps
10.0,Floated2
9.0,Xstal
9.0,AvionPrince16
7.0,henry8-3
10.0,ericstevenson
9.0,jack_o_hasanov_imdb
8.0,Edvis-1997
10.0,martinpersson97
9.0,ThomasDrufke
9.0,Top_Dawg_Critic
9.0,Thanos_Alfie
5.0,jamesrupert2014
10.0,cruise01
8.0,The-Sarkologist
8.0,IonicBreezeMachine
9.0,briancham1994
8.0,eddie_baggins
9.0,adamjohns-42575
8.0,gianmarcoronconi
7.0,SoumikBanerjee1996
8.0,Reviews_of_the_Dead
10.0,moviesfilmsreviewsinc
10.0,r96sk
,harry_tk_yung
10.0,masonsaul
10.0,stevendbeard
7.0,Groverdox
9.0,subxerogravity
8.0,guisreis
7.0,matthewssilverhammer
10.0,DarkVulcan29
7.0,GiraffeDoor
5.0,Neptune165
6.0,vengeance20
,Special-K88
6.0,drqshadow-reviews
9.0,JoBloTheMovieCritic
7.0,LetsReviewThat26
9.0,andrewchristianjr
7.0,robfollower
,amesmonde
10.0,XweAponX
8.0,MissSimonetta
8.0,Mysterygeneration
8.0,jfgibson73
8.0,mattkratz
10.0,TheOneThatYouWanted
10.0,AnnaPagrati
9.0,questl-18592
10.0,Elvis-Del-Valle
8.0,Kingslaay
9.0,Allierubystein666
9.0,rgkarim
6.0,mhorg2018
9.0,MB-reviewer185
9.0,MrFilmAndTelevisionShow
7.0,athanasiosze
9.0,drlex-15751
10.0,WeAreLive
9.0,ethanbresnett
9.0,SPZMaxinema
4.0,IPyaarCinema
9.0,bosporan
8.0,mrdonleone
10.0,HabibieHakim123
9.0,vithiet
10.0,AngelHonesty
9.0,reddiemurf81
10.0,Johnny-the-Film-Sentinel-2187
8.0,tm-sheehan
9.0,Sergiodave
6.0,blott2319-1
10.0,akshatmahajan
10.0,OMTR
6.0,PedroPires90
7.0,owen-watts
4.0,elliotjeory
7.0,Jithindurden
6.0,danieljfarthing
9.0,nancyldraper
10.0,ladymidath
8.0,tkdlifemagazine
9.0,RobTheWatcher
10.0,m-ramanan
9.0,Horror_Flick_Fanatic
8.0,sergelamarche
8.0,thekarmicnomad
10.0,mrashtastic89
9.0,btreakle
6.0,ashfordofficial
8.0,Zac_La_Porte
6.0,tchitouniaram
8.0,dannylee-78082
7.0,jp_91
6.0,JurijFedorov
10.0,Anurag-Shetty
6.0,daisukereds
8.0,jeroduptown
7.0,proud_luddite
9.0,hnt_dnl
9.0,PCC0921
4.0,fluffchop
2.0,Xavier_Stone
7.0,JoshuaMercott
8.0,Benjamin-M-Weilert
9.0,lojitsu
10.0,aboalhyjaa
9.0,bankofmarquis
9.0,kjproulx
7.0,zhyarTheChosen
2.0,statuskuo
9.0,W011y4m5
9.0,jace_the_film_guy
7.0,joebloggscity
9.0,rehmankhilji
7.0,david-meldrum
8.0,saru2020
9.0,KalKenobi83
7.0,MuviFan73
7.0,surfisfun
10.0,Slarkshark
9.0,MrDHWong
7.0,sharky_55
7.0,movieman6-413-929510
4.0,fciocca
6.0,namob-43673
10.0,alexpeychev
8.0,Stanlee107
6.0,mieriks
9.0,msbreviews
10.0,xuehuabingyu
9.0,cardsrock
7.0,hoernkeem
7.0,ryanpersaud-59415
10.0,alindsayal
7.0,sbweightman
6.0,garabedian123
8.0,spasek
6.0,cliftonofun
8.0,AfricanBro
10.0,RussHog
10.0,IWasKnownAsThe1SentenceReviewer
10.0,deepfrieddodo
7.0,djurrepower
8.0,Sir_AmirSyarif
8.0,sriramthestranger
7.0,madanmarwah
7.0,CrazyArty
10.0,lakings97
7.0,isaacochoterena
6.0,stefanozucchelli
7.0,stevelivesey67
8.0,chunkylefunga
8.0,chera_khalid
9.0,CANpatbuck3664
10.0,lark40
10.0,bretttaylor-04022
9.0,erminahotmail
9.0,BrunoRatesTheMovies
7.0,Carycomic
10.0,griffithxjohnson
5.0,angelorwez
9.0,DarthVoorhees
9.0,gabriel_sanchez
9.0,danielmanson
6.0,radhrh
9.0,TreeFiddy53
2.0,li0904426
1.0,akoaytao1234
6.0,Mike_Devine
10.0,cs_rahul_prasad
9.0,aheaven2005
8.0,sufyaanrashid95
10.0,BrnzReviews
8.0,ivanmessimilos
10.0,pranayjalvi
8.0,Mcduff3601
8.0,andyajoflaherty
10.0,DoNotComeToTheCinemaDepressed
8.0,Movie_Rating_n_Ranking
8.0,jaysanchu07
4.0,jeromesgabilo
8.0,EdwardtheBlackPrince
9.0,TheMysteriousReviewer
9.0,iamjamalwhite
9.0,lareval
6.0,therealjaysmoke
7.0,Misss25
9.0,jakethesnake-42007
7.0,TheVictoriousV
5.0,zkzuber
5.0,mickman91-1
9.0,mahmus
8.0,DanLawson146
4.0,judywalker2
6.0,Otkon
7.0,Blumanowar
10.0,bhernandez2216
9.0,martinrobertson300482
8.0,alekspredator87
9.0,cinemapersonified
10.0,catpantry
8.0,willandcharlenebrown
10.0,auskooper
8.0,alcantaraj-16594
9.0,fraser-simons
9.0,nicorip22
10.0,colewaters
5.0,ThereelscoopwithKK
10.0,stevebondi
9.0,dopefishie
,TheBigSick
9.0,johnsmithjanuary-20081
7.0,eagandersongil
7.0,SafReviews
9.0,cahidi
9.0,gavinp9
1.0,jimmycoffin-751-212853
7.0,kgprophet
10.0,chiragrathod19
7.0,dfle3
6.0,JoelChamp85
6.0,isaacsundaralingam
9.0,shaikhirshad-41223
9.0,nidhunmoviebuff
10.0,mrglenngrant
10.0,malmevik77
7.0,bryangary65
7.0,TheCorniestLemur
5.0,tushargupta-27286
6.0,pensacolacomputer
8.0,higherall7
4.0,sanadalsalt
9.0,MovieWarfare
10.0,paulwattriley
3.0,momomojojo
5.0,p-jonsson
10.0,Paragon240
3.0,Irene212
10.0,eskimosound
8.0,coombsstephen
10.0,flicklover
9.0,benjaminskylerhill
5.0,bgaiv
,JWick23
9.0,ilovefoodcoma
8.0,moviesknight
9.0,MxS7HGS
10.0,rnixon-15663
9.0,thePopcornExplorer
9.0,AscendeSuperius
9.0,waltermwilliams
8.0,KFstudios2009
7.0,mickeythechamp
10.0,gabethedinosaur
9.0,Genkinchan
10.0,toonarly
9.0,PerryAtTheMovies
9.0,NestorTheGreat
7.0,MK_Movie_Reviews
10.0,darapjohnson
9.0,nscoby93
8.0,khalidmoubile
9.0,Avwillfan89
7.0,dilipbts
8.0,ACollegeStudent
8.0,Lewis_Heather787
6.0,margineanvladdaniel
7.0,dakuchonekobing
8.0,collectorofsorts
8.0,Neon_Gold
10.0,ryanmo-35178
8.0,Shadowboy_25cm
6.0,DeBBss
10.0,TharsheyN
8.0,asb_deutsch
7.0,CountJonnie
9.0,johnnyhbtvs27
10.0,timeblank
2.0,MonsterVision99
9.0,cdjh-81125
9.0,jordyntsmith
8.0,judealexharnett
9.0,gcsman
10.0,arabnikita
9.0,RahulM007
8.0,guskeller
10.0,projectsgamer
8.0,ariqakbar
10.0,Joshumms
9.0,Biswas_
8.0,jackgdemoss
9.0,ahmxii
8.0,D4V1D2411
7.0,mr_bickle_the_pickle
9.0,kenzibit
6.0,davidallenxyz
10.0,jasminn_tan
5.0,Ltufano23
8.0,garethwooduk
5.0,tindfoting
8.0,Norman_French
7.0,timothyhilditch
3.0,shefchenko
7.0,theredsky
8.0,SilverOrlov
10.0,chubarova
8.0,eoinpgeary
7.0,elgrampo77
10.0,NS-movie-reviews
8.0,muratmihcioglu
8.0,jkb2012
5.0,slowcando
9.0,jamericanbeauty
8.0,emryse
1.0,magadalwarmayur
10.0,Ahmedfadil00
3.0,ambusched94
10.0,seruanyre
1.0,Insane_Man
6.0,blrnani
10.0,skmenon1993
8.0,arod_85
8.0,Scar38
7.0,unclesamsavage
10.0,Maxax777
7.0,troy-daniel-bush
9.0,AdrenalinDragon
8.0,HafizhMaulana21
9.0,ssvfolder-1
9.0,mmuggi
10.0,parksiet
4.0,FixedYourEnding
10.0,fredschaefer-406-623204
8.0,ITALUKE
,shefali-59244
10.0,kaden_lewis
8.0,Jackblyth8
6.0,bastille-852-731547
10.0,imdb-ikysmoviedatabase
10.0,kelly-gaudreau
8.0,sevskirita
7.0,Hope-Earl
8.0,Adam-09265
7.0,Eli_Elvis
3.0,DrTuvok
7.0,GoldenGooner04
7.0,gtenalokes
10.0,DiptanshuG
6.0,mattatthemovies
10.0,papanloveu
5.0,wumbi
9.0,vibhus-17780
10.0,sumanth-05484
9.0,ladyliliroche
,Celewa
10.0,Dannyboi94
10.0,gritfrombray-1
2.0,koohii
6.0,and_shove_it_up_your_butt
7.0,vailsy
8.0,Filmdokter
9.0,abphadore
7.0,BigGuy
7.0,Turanic
10.0,MFC9
9.0,bbevis-47954
5.0,Dello_
10.0,riddhimaakaritu
7.0,andrew-hill515
10.0,Shmaden
9.0,LincolnSixEko
8.0,elliotpower2000
10.0,malcolmjohnston
8.0,AnimatedCritic
9.0,thesterlingweaver
8.0,saikatsamanta
8.0,dorMancyx
6.0,puzgolac
6.0,mr-altex
7.0,lovemichaeljordan
9.0,MoistMovies
10.0,WorldMovie99
10.0,royhectorkabanlit
4.0,nlk87
8.0,Spartan_1_1_7
9.0,lhbaker-28783
10.0,mkayseryan
8.0,mitchell5954
10.0,HotDoggyBoomBooM
10.0,mindlessmoviemaster
8.0,poseyfan
9.0,Tv-Addict1991
4.0,007Waffles
8.0,jmworacle-99025
8.0,bradykitchen-33648
6.0,kuner-59029
3.0,xiaohei-80112
9.0,mjpiro
5.0,name99-92-545389
10.0,Entertainmentsparadise
9.0,pughspencer
3.0,evans-j34
6.0,Prophetik
1.0,Criticalstaff
8.0,ubasarsahin
10.0,Benslie
8.0,imxhill
6.0,Shilo_R_A
7.0,chrislawuk
3.0,meissotruey
8.0,Polotovar
10.0,frankiesilver-91836
7.0,pasaribuharisfadli
8.0,intrepidami
9.0,quiqueperezsoler
9.0,WooderIce64
6.0,movieliker1
9.0,jcooloti
9.0,nafodude
10.0,thepriceofpayne
8.0,evansjoshyr
4.0,therapeuticsuicide
8.0,actaction
7.0,hotrobinproductions
8.0,mr_sharma
10.0,hfreinoso
10.0,RobTortureWright
10.0,afura-78800
7.0,krunalpatel11127
10.0,abalpn-99472
4.0,andymaranam
10.0,marveller-66
9.0,TheGreatGreenBadger
6.0,miaalike
6.0,TheTexasChainstoreManager
5.0,stermix501
6.0,rich-mac
6.0,melodyso
9.0,Harry_Gleeson
10.0,harry-34518
10.0,Splarke22
10.0,NicolasTheWolf
9.0,drawlife
10.0,arsalanweb
10.0,natashialw
7.0,jljacobi
9.0,stefstars
9.0,jamiekressinger
1.0,loozzotys
8.0,ScorpioDog
8.0,PedroReviews
10.0,tkmce2008
9.0,wackoreviews
5.0,TheRetroCritic
9.0,boggie4758
7.0,JabezGill
10.0,christophershobris
1.0,cwade22
