names,ipc-rating-star--rating
lor_,
SnoopyStyle,7.0
Leofwine_draca,9.0
Hitchcoc,7.0
boblipton,6.0
Prismark10,7.0
kosmasp,9.0
claudio_carvalho,7.0
Horst_In_Translation,6.0
nogodnomasters,7.0
BandSAboutMovies,7.0
paul_haakonsen,8.0
classicsoncall,7.0
jboothmillard,7.0
BA_Harrison,5.0
studioAT,2.0
TxMike,
Gordon-11,
view_and_review,7.0
kevin_robbins,7.0
LeonLouisRicci,7.0
deloudelouvain,6.0
neil-476,7.0
george.schmidt,8.0
morrison-dylan-fan,7.0
Pjtaylor-96-138044,5.0
Lejink,7.0
RosanaBotafogo,8.0
siderite,8.0
pixrox1,8.0
snoozejonc,8.0
imseeg,4.0
UniqueParticle,10.0
cjonesas,7.0
FeastMode,8.0
JohnDeSando,
southdavid,8.0
fernandoschiavi,7.0
Jeremy_Urquhart,7.0
thesar-2,8.0
cherold,8.0
cricketbat,6.0
ThunderKing6,10.0
A_Different_Drummer,7.0
ops-52535,6.0
lisafordeay,6.0
Tweetienator,3.0
851222,6.0
CinemaClown,
filipemanuelneto,7.0
damianphelps,5.0
Floated2,7.0
Xstal,7.0
AvionPrince16,6.0
henry8-3,6.0
ericstevenson,8.0
jack_o_hasanov_imdb,7.0
masonfisk,7.0
martinpersson97,9.0
Top_Dawg_Critic,8.0
Thanos_Alfie,7.0
jamesrupert2014,6.0
cruise01,10.0
The-Sarkologist,7.0
IonicBreezeMachine,7.0
briancham1994,7.0
adamjohns-42575,5.0
tabuno,9.0
jtindahouse,7.0
gianmarcoronconi,8.0
Jackbv123,6.0
SoumikBanerjee1996,6.0
Reviews_of_the_Dead,7.0
moviesfilmsreviewsinc,10.0
sauravjoshi85,7.0
harry_tk_yung,
masonsaul,9.0
stevendbeard,8.0
subxerogravity,8.0
matthewssilverhammer,9.0
Pairic,8.0
DarkVulcan29,10.0
Neptune165,5.0
vengeance20,6.0
Special-K88,
drqshadow-reviews,5.0
kwenchow,1.0
LetsReviewThat26,6.0
andrewchristianjr,9.0
robfollower,8.0
amesmonde,
Abdulxoxo,7.0
arungeorge13,6.0
CubsandCulture,6.0
XweAponX,10.0
Mysterygeneration,6.0
Cobra_77,10.0
joiningjt,10.0
jfgibson73,5.0
TheOneThatYouWanted,9.0
rannynm,10.0
questl-18592,6.0
Elvis-Del-Valle,10.0
Kingslaay,6.0
Allierubystein666,9.0
rgkarim,7.0
MB-reviewer185,7.0
athanasiosze,7.0
drlex-15751,8.0
WeAreLive,4.0
ethanbresnett,7.0
SPZMaxinema,9.0
HabibieHakim123,10.0
vithiet,7.0
reddiemurf81,6.0
Johnny-the-Film-Sentinel-2187,5.0
blott2319-1,4.0
akshatmahajan,6.0
OMTR,6.0
PedroPires90,4.0
elliotjeory,4.0
Jithindurden,6.0
danieljfarthing,7.0
tkdlifemagazine,6.0
justin-fencsak,9.0
m-ramanan,7.0
sergelamarche,7.0
drjgardner,2.0
Terryfan,5.0
mrashtastic89,9.0
ashfordofficial,7.0
Zac_La_Porte,5.0
tchitouniaram,7.0
dannylee-78082,6.0
jp_91,7.0
JurijFedorov,6.0
Anurag-Shetty,10.0
daisukereds,5.0
jeroduptown,6.0
JoshuaMercott,8.0
Benjamin-M-Weilert,7.0
lojitsu,9.0
bankofmarquis,8.0
kjproulx,9.0
JayWolfgramm,6.0
dasa108,3.0
lambiepie-2,6.0
Vivekmaru45,5.0
statuskuo,6.0
jace_the_film_guy,5.0
rehmankhilji,6.0
david-meldrum,6.0
KalKenobi83,9.0
Slarkshark,9.0
MrDHWong,8.0
movieman6-413-929510,7.0
fciocca,5.0
namob-43673,1.0
Stanlee107,7.0
msbreviews,7.0
cardsrock,8.0
hoernkeem,7.0
MJB784,6.0
ryanpersaud-59415,7.0
alindsayal,9.0
TheTruthofItIs,4.0
pietclausen,7.0
sbweightman,8.0
khanbaliq2,8.0
garabedian123,8.0
kuarinofu,5.0
cliftonofun,4.0
MamadNobari97,6.0
AfricanBro,7.0
RussHog,6.0
IWasKnownAsThe1SentenceReviewer,7.0
deepfrieddodo,7.0
grlym-46849,4.0
lakings97,6.0
isaacochoterena,4.0
stefanozucchelli,5.0
stevelivesey67,2.0
chunkylefunga,4.0
chera_khalid,7.0
CANpatbuck3664,9.0
lark40,10.0
bretttaylor-04022,7.0
erminahotmail,2.0
BrunoRatesTheMovies,7.0
bheadher,6.0
Carycomic,10.0
griffithxjohnson,9.0
DarthVoorhees,5.0
gabriel_sanchez,7.0
brett-76260,1.0
TreeFiddy53,7.0
li0904426,1.0
akoaytao1234,7.0
Mike_Devine,5.0
BrnzReviews,10.0
ivanmessimilos,6.0
pranayjalvi,5.0
andyajoflaherty,9.0
chris_rowe-881-168820,6.0
DoNotComeToTheCinemaDepressed,10.0
Dodge-Zombie,7.0
breadandhammers,
Movie_Rating_n_Ranking,7.0
jaysanchu07,8.0
avindugunasinghe,10.0
jeromesgabilo,6.0
EdwardtheBlackPrince,5.0
TheMysteriousReviewer,7.0
becky-92346,5.0
iamjamalwhite,6.0
jakethesnake-42007,8.0
TheVictoriousV,5.0
mahmus,8.0
DanLawson146,7.0
judywalker2,3.0
bhernandez2216,10.0
martinrobertson300482,7.0
alekspredator87,6.0
JonyVeana,7.0
cinemapersonified,6.0
willandcharlenebrown,5.0
shanayneigh,4.0
auskooper,8.0
witra_as,8.0
nicorip22,8.0
colewaters,9.0
ThereelscoopwithKK,7.0
stevebondi,8.0
H0kv5,6.0
cahidi,8.0
gavinp9,7.0
sanjubhat,8.0
yahaira-729-694701,5.0
chiragrathod19,6.0
shaikhirshad-41223,9.0
nidhunmoviebuff,8.0
mrglenngrant,6.0
malmevik77,9.0
JackRJosie,3.0
tushargupta-27286,5.0
higherall7,9.0
comps-784-38265,2.0
sanadalsalt,4.0
MovieWarfare,7.0
shoobe01-1,5.0
RogerBorg,4.0
Paragon240,7.0
coombsstephen,8.0
flicklover,8.0
xiaoli7377,8.0
benjaminskylerhill,6.0
owenpont-70803,7.0
JWick23,
ilovefoodcoma,7.0
moviesknight,8.0
thePopcornExplorer,5.0
AscendeSuperius,9.0
waltermwilliams,7.0
GomezAddams666,10.0
gabethedinosaur,10.0
redcrossaint,5.0
PerryAtTheMovies,8.0
dommercaldi,4.0
Christopher_Reid,5.0
NestorTheGreat,6.0
darapjohnson,8.0
khalidmoubile,7.0
Avwillfan89,8.0
Blazehgehg,7.0
ha77y73ad97,9.0
Lewis_Heather787,8.0
margineanvladdaniel,7.0
rudicantfail,3.0
aarongnr,9.0
collectorofsorts,5.0
ryanmo-35178,7.0
Shadowboy_25cm,7.0
harishnj,5.0
TharsheyN,7.0
digdog-785-717538,8.0
johnnyhbtvs27,6.0
timeblank,8.0
jordyntsmith,5.0
judealexharnett,7.0
karinahatem,2.0
gcsman,9.0
nakrugt,2.0
RahulM007,9.0
brunovanael,4.0
guskeller,8.0
MickeyTheConstant,4.0
ariqakbar,7.0
Joshumms,8.0
PotassiumMan,10.0
Biswas_,6.0
jackgdemoss,9.0
ahmxii,7.0
D4V1D2411,7.0
mr_bickle_the_pickle,8.0
kenzibit,10.0
davidallenxyz,3.0
gunn-wrights,8.0
srdjan_veljkovic,2.0
cgearheart,4.0
jasminn_tan,6.0
suvechhabose,7.0
Sandra-durand80,1.0
Chalice_Of_Evil,8.0
Jester222,8.0
tindfoting,5.0
Norman_French,6.0
shefchenko,4.0
theredsky,7.0
Dominic_25_,5.0
eoinpgeary,7.0
elgrampo77,5.0
NS-movie-reviews,3.0
jkb2012,7.0
Ar_Pharazon_the_golden,7.0
slowcando,8.0
emryse,6.0
Valid_ID,1.0
newnoir,
Ahmedfadil00,9.0
