ipc-rating-star--rating,names
7.0,SnoopyStyle
6.0,Leofwine_draca
8.0,kosmasp
6.0,claudio_carvalho
6.0,Horst_In_Translation
8.0,nogodnomasters
7.0,BandSAboutMovies
6.0,paul_haakonsen
6.0,classicsoncall
5.0,jboothmillard
,TxMike
,Gordon-11
8.0,kevin_robbins
6.0,ferguson-6
8.0,deloudelouvain
7.0,TBJCSKCNRRQTreviews
8.0,neil-476
8.0,george.schmidt
4.0,Pjtaylor-96-138044
6.0,SAMTHEBESTEST
6.0,Mr-Fusion
7.0,siderite
9.0,pixrox1
6.0,snoozejonc
8.0,UniqueParticle
7.0,cjonesas
5.0,FeastMode
6.0,southdavid
6.0,fernandoschiavi
4.0,Jeremy_Urquhart
8.0,thesar-2
6.0,cherold
5.0,cricketbat
10.0,ThunderKing6
5.0,A_Different_Drummer
3.0,arthur_tafero
5.0,lisafordeay
3.0,Tweetienator
4.0,851222
,CinemaClown
6.0,damianphelps
5.0,Floated2
3.0,Xstal
5.0,AvionPrince16
4.0,henry8-3
7.0,ericstevenson
6.0,jack_o_hasanov_imdb
7.0,masonfisk
9.0,martinpersson97
10.0,Top_Dawg_Critic
7.0,Thanos_Alfie
2.0,jamesrupert2014
5.0,panagiotis1993
10.0,cruise01
6.0,The-Sarkologist
6.0,IonicBreezeMachine
5.0,briancham1994
6.0,eddie_baggins
5.0,adamjohns-42575
7.0,tabuno
7.0,jtindahouse
3.0,Jackbv123
5.0,SoumikBanerjee1996
7.0,Reviews_of_the_Dead
6.0,moviesfilmsreviewsinc
8.0,slightlymad22
7.0,r96sk
,harry_tk_yung
6.0,masonsaul
8.0,stevendbeard
8.0,subxerogravity
6.0,matthewssilverhammer
8.0,Pairic
10.0,DarkVulcan29
3.0,Neptune165
3.0,Neptune165
5.0,allmoviesfan
,Special-K88
4.0,drqshadow-reviews
6.0,LetsReviewThat26
8.0,andrewchristianjr
8.0,robfollower
,amesmonde
6.0,arungeorge13
10.0,XweAponX
6.0,Mysterygeneration
9.0,joiningjt
9.0,rannynm
7.0,AnnaPagrati
4.0,questl-18592
9.0,Elvis-Del-Valle
6.0,EUyeshima
6.0,Kingslaay
6.0,Foreverisacastironmess123
4.0,Allierubystein666
8.0,rgkarim
7.0,and_mikkelsen
2.0,martimusross
5.0,mhorg2018
6.0,MB-reviewer185
7.0,athanasiosze
6.0,drlex-15751
3.0,WeAreLive
6.0,ethanbresnett
8.0,SPZMaxinema
4.0,HabibieHakim123
7.0,vithiet
6.0,reddiemurf81
6.0,Johnny-the-Film-Sentinel-2187
3.0,blott2319-1
7.0,akshatmahajan
10.0,OMTR
6.0,PedroPires90
7.0,Jithindurden
8.0,danieljfarthing
9.0,nancyldraper
7.0,m-ramanan
7.0,Horror_Flick_Fanatic
8.0,drjgardner
9.0,mrashtastic89
3.0,ashfordofficial
3.0,dannylee-78082
6.0,jp_91
5.0,JurijFedorov
10.0,Anurag-Shetty
4.0,daisukereds
2.0,MadamWarden
7.0,fluffchop
6.0,JoshuaMercott
