ipc-rating-star--rating,names
5.0,flicklover
6.0,cardsrock
6.0,Top_Dawg_Critic
,jojunno
6.0,oszajcakk
6.0,poseyfan
6.0,FeastMode
6.0,tabuno
4.0,FlashCallahan
6.0,MrDHWong
2.0,Avwillfan89
8.0,jharbert-47785
6.0,amooorales
4.0,MamadNobari97
7.0,dmoorejr
7.0,scottleerobinson
7.0,glennmeerten06
7.0,chgames-28385
4.0,Chance_Boudreaux19
7.0,Roscorox616
4.0,Tweetienator
8.0,galaxytitan-66249
7.0,jaysonjats
5.0,ItsRobinTV
7.0,rokib99
6.0,SnoopyStyle
5.0,boblipton
6.0,Prismark10
9.0,kosmasp
8.0,nogodnomasters
7.0,BandSAboutMovies
5.0,paul_haakonsen
7.0,classicsoncall
5.0,jboothmillard
,TxMike
6.0,CinemaSerf
,Gordon-11
7.0,kevin_robbins
6.0,LeonLouisRicci
8.0,TBJCSKCNRRQTreviews
7.0,neil-476
7.0,george.schmidt
4.0,FlashCallahan
5.0,Mr-Fusion
7.0,siderite
6.0,pixrox1
5.0,snoozejonc
5.0,imseeg
10.0,UniqueParticle
6.0,FeastMode
6.0,southdavid
5.0,fernandoschiavi
6.0,thesar-2
5.0,cherold
6.0,cricketbat
7.0,ThunderKing6
6.0,lisafordeay
4.0,Tweetienator
,CinemaClown
5.0,damianphelps
5.0,Floated2
4.0,Xstal
6.0,AvionPrince16
5.0,henry8-3
6.0,ericstevenson
5.0,jack_o_hasanov_imdb
7.0,masonfisk
4.0,arfdawg-1
6.0,Top_Dawg_Critic
10.0,cruise01
7.0,The-Sarkologist
6.0,IonicBreezeMachine
3.0,eddie_baggins
6.0,tabuno
6.0,SoumikBanerjee1996
7.0,Reviews_of_the_Dead
10.0,moviesfilmsreviewsinc
6.0,slightlymad22
9.0,r96sk
,harry_tk_yung
6.0,masonsaul
8.0,stevendbeard
7.0,subxerogravity
8.0,Pairic
9.0,DarkVulcan29
3.0,Neptune165
4.0,vengeance20
,Special-K88
7.0,LetsReviewThat26
7.0,andrewchristianjr
6.0,Abdulxoxo
4.0,arungeorge13
6.0,Mysterygeneration
10.0,TheOneThatYouWanted
7.0,rannynm
6.0,questl-18592
9.0,Elvis-Del-Valle
8.0,rgkarim
4.0,AudioFileZ
6.0,MB-reviewer185
6.0,drlex-15751
6.0,ethanbresnett
6.0,SPZMaxinema
4.0,chand-suhas
8.0,HabibieHakim123
6.0,vithiet
6.0,AngelHonesty
5.0,Johnny-the-Film-Sentinel-2187
6.0,johannes2000-1
8.0,OMTR
8.0,danieljfarthing
4.0,tkdlifemagazine
5.0,mrashtastic89
6.0,ashfordofficial
4.0,tchitouniaram
5.0,jp_91
8.0,JurijFedorov
10.0,Anurag-Shetty
5.0,daisukereds
7.0,PCC0921
6.0,JoshuaMercott
5.0,Benjamin-M-Weilert
8.0,lojitsu
7.0,bankofmarquis
4.0,kjproulx
3.0,JayWolfgramm
