names,ipc-rating-star--rating
lor_,
SnoopyStyle,7.0
Hitchcoc,6.0
boblipton,8.0
Sleepin_Dragon,8.0
Prismark10,5.0
kosmasp,9.0
Horst_In_Translation,6.0
nogodnomasters,5.0
paul_haakonsen,5.0
classicsoncall,7.0
jboothmillard,7.0
TxMike,
CinemaSerf,6.0
Gordon-11,
kevin_robbins,9.0
ferguson-6,6.0
deloudelouvain,8.0
TBJCSKCNRRQTreviews,10.0
neil-476,6.0
Pjtaylor-96-138044,5.0
SAMTHEBESTEST,6.0
siderite,7.0
paulclaassen,2.0
snoozejonc,6.0
imseeg,4.0
UniqueParticle,10.0
FeastMode,8.0
JohnDeSando,
southdavid,7.0
fernandoschiavi,7.0
Jeremy_Urquhart,8.0
thesar-2,8.0
lasttimeisaw,7.0
cricketbat,5.0
ThunderKing6,7.0
lisafordeay,5.0
851222,5.0
CinemaClown,
Floated2,4.0
Xstal,8.0
AvionPrince16,7.0
henry8-3,5.0
ericstevenson,9.0
jack_o_hasanov_imdb,7.0
masonfisk,8.0
martinpersson97,9.0
Top_Dawg_Critic,7.0
Thanos_Alfie,8.0
panagiotis1993,7.0
cruise01,10.0
The-Sarkologist,4.0
IonicBreezeMachine,7.0
eddie_baggins,7.0
adamjohns-42575,6.0
jtindahouse,3.0
SoumikBanerjee1996,7.0
Reviews_of_the_Dead,7.0
moviesfilmsreviewsinc,10.0
slightlymad22,6.0
r96sk,8.0
masonsaul,7.0
stevendbeard,8.0
subxerogravity,8.0
DarkVulcan29,10.0
Neptune165,4.0
Special-K88,
LetsReviewThat26,6.0
andrewchristianjr,8.0
Abdulxoxo,6.0
arungeorge13,7.0
Mysterygeneration,6.0
TheOneThatYouWanted,4.0
rannynm,10.0
questl-18592,5.0
Elvis-Del-Valle,10.0
rgkarim,8.0
gortx,
mhorg2018,5.0
MB-reviewer185,7.0
3xHCCH,9.0
drlex-15751,7.0
WeAreLive,4.0
ethanbresnett,8.0
SPZMaxinema,7.0
chand-suhas,5.0
HabibieHakim123,5.0
vithiet,6.0
reddiemurf81,6.0
killercharm,6.0
Johnny-the-Film-Sentinel-2187,6.0
tm-sheehan,5.0
OMTR,10.0
PedroPires90,7.0
owen-watts,7.0
Jithindurden,8.0
danieljfarthing,3.0
m-ramanan,7.0
drjgardner,2.0
mrashtastic89,9.0
ashfordofficial,7.0
dannylee-78082,6.0
jp_91,5.0
JurijFedorov,4.0
Anurag-Shetty,10.0
daisukereds,5.0
proud_luddite,7.0
JoshuaMercott,7.0
Benjamin-M-Weilert,6.0
lojitsu,8.0
bankofmarquis,7.0
kjproulx,9.0
JayWolfgramm,6.0
W011y4m5,7.0
Mehki_Girl,7.0
jace_the_film_guy,8.0
rehmankhilji,6.0
saru2020,4.0
KalKenobi83,8.0
Slarkshark,7.0
MrDHWong,8.0
movieman6-413-929510,7.0
namob-43673,2.0
alexpeychev,2.0
msbreviews,7.0
cardsrock,8.0
hoernkeem,8.0
ryanpersaud-59415,8.0
alindsayal,8.0
sbweightman,4.0
khanbaliq2,8.0
cliftonofun,7.0
MamadNobari97,6.0
trinaboice,9.0
AfricanBro,7.0
RussHog,6.0
IWasKnownAsThe1SentenceReviewer,2.0
deepfrieddodo,7.0
madanmarwah,7.0
grlym-46849,3.0
lakings97,7.0
chera_khalid,7.0
bheadher,4.0
Carycomic,9.0
Prichards12345,8.0
li0904426,6.0
Mike_Devine,5.0
sufyaanrashid95,7.0
BrnzReviews,10.0
chris_rowe-881-168820,10.0
DoNotComeToTheCinemaDepressed,9.0
Movie_Rating_n_Ranking,6.0
avindugunasinghe,5.0
jeromesgabilo,5.0
silicontourist,6.0
stevelivesey-37183,2.0
becky-92346,8.0
brentsbulletinboard,9.0
therealjaysmoke,3.0
TheVictoriousV,5.0
judywalker2,7.0
terrylarosa,6.0
bhernandez2216,10.0
alekspredator87,7.0
cinemapersonified,6.0
auskooper,9.0
fraser-simons,9.0
ThereelscoopwithKK,8.0
H0kv5,6.0
hemisphere65-1,3.0
PyroSikTh,7.0
SafReviews,7.0
gavinp9,6.0
kgprophet,6.0
chiragrathod19,6.0
shaikhirshad-41223,8.0
nidhunmoviebuff,8.0
mrglenngrant,8.0
koltonbrett,7.0
malmevik77,9.0
nightringer-76840,2.0
steveinadelaide,7.0
higherall7,10.0
MandalBros-5,9.0
MovieWarfare,8.0
Paragon240,7.0
xiaoli7377,7.0
owenpont-70803,8.0
ayoreinf,8.0
moviesknight,8.0
thePopcornExplorer,6.0
waltermwilliams,7.0
mickeythechamp,3.0
gabethedinosaur,10.0
Christopher_Reid,1.0
NestorTheGreat,7.0
darapjohnson,2.0
nscoby93,6.0
khalidmoubile,7.0
Avwillfan89,7.0
akhil027,3.0
ha77y73ad97,6.0
ACollegeStudent,6.0
atleverton,5.0
timeblank,9.0
gcsman,9.0
skip-98756,10.0
PotassiumMan,9.0
FallenEye,6.0
jackgdemoss,8.0
D4V1D2411,8.0
dbuckshnis,9.0
exceladeogun,7.0
garethwooduk,10.0
tindfoting,5.0
SHU_Movies,8.0
theredsky,7.0
Dominic_25_,6.0
eoinpgeary,7.0
NS-movie-reviews,9.0
jkb2012,7.0
groundzero-273-397110,3.0
AdrenalinDragon,5.0
HafizhMaulana21,7.0
mmuggi,5.0
parksiet,9.0
fredschaefer-406-623204,6.0
ObsessiveCinemaDisorder,7.0
Hope-Earl,10.0
GabrielSymes,3.0
wisdomwasp,3.0
philthegreatone-786-63058,8.0
confidential-67897,2.0
vibhus-17780,8.0
Darwinskid,
Mar-77,3.0
ladyliliroche,4.0
bobetjo,4.0
ykjdh,10.0
info-90701,4.0
and_shove_it_up_your_butt,4.0
TheNamelessCzar,7.0
Aoi_kdr,6.0
quockquock,1.0
fatfil-414-451797,4.0
BudoSenpai,
saikatsamanta,6.0
dorMancyx,7.0
dorMancyx,7.0
tommy-97761,5.0
True_Reviews,6.0
pfne,6.0
Silicone54,2.0
Web_Of_Doom,6.0
007Waffles,6.0
bradykitchen-33648,8.0
kuner-59029,3.0
ajikude,2.0
Entertainmentsparadise,7.0
pughspencer,7.0
glenaobrien,6.0
Benslie,9.0
Eric266,7.0
frankiesilver-91836,6.0
freethinkingworld,6.0
trey-yancy-572-763547,3.0
greggman,5.0
rich7354,4.0
hfreinoso,7.0
dklecan,5.0
liam_nb,6.0
T-ZER0,2.0
saolivaresm,7.0
tranat71,1.0
RebelPanda,6.0
williamsonandcompany,5.0
harry-34518,9.0
TokyoGyaru,10.0
drawlife,8.0
PartTimeCritic,3.0
shareen_shany,10.0
ScorpioDog,7.0
PedroReviews,6.0
wackoreviews,8.0
TheRetroCritic,7.0
rchosen-193-5535,8.0
mbell-56214,3.0
carlwilkessob,1.0
sujanfaster,6.0
aramsdale,6.0
ta-98251,9.0
vessalalizadeh,9.0
SureCommaNot,
sme3,6.0
jebyvyson,7.0
ColinTheGorilla,8.0
ryanwinning1,5.0
vpashish,8.0
kobemackenzie,8.0
rajvignesh-60140,8.0
Martipee,3.0
dtstacey,7.0
aaaaaron-frannnnnnnn,7.0
jon_anderson77,8.0
cthirlby,8.0
Mabkid,6.0
Hammer-Rocks,7.0
lord_orsum,6.0
prolead,5.0
extraplay-61838,8.0
spikeypoet,8.0
Ed-from-HI,8.0
uberdonkey6,4.0
movietalkwithmuhammed,4.0
nizarsalim,8.0
toseale,10.0
TheDestroia,7.0
demonblade-37792,8.0
doyler79,7.0
bgoo-19890,10.0
catalinmarian-13885,6.0
lucaslw-93145,8.0
BoulosSoueileh,7.0
Feel-the-truth,9.0
TomSawyer-2112,4.0
priyagoswami-94472,10.0
leoalexanderscott,9.0
loganschainker,7.0
v-86934,2.0
