ipc-rating-star--rating,names
7.0,SnoopyStyle
8.0,Leofwine_draca
7.0,Prismark10
10.0,kosmasp
8.0,nogodnomasters
9.0,paul_haakonsen
8.0,jboothmillard
2.0,BA_Harrison
7.0,CinemaSerf
8.0,kevin_robbins
6.0,ferguson-6
9.0,deloudelouvain
10.0,TBJCSKCNRRQTreviews
10.0,neil-476
,george.schmidt
6.0,FlashCallahan
6.0,Pjtaylor-96-138044
10.0,Aaron1375
8.0,siderite
9.0,pixrox1
5.0,imseeg
10.0,UniqueParticle
5.0,FeastMode
,JohnDeSando
7.0,southdavid
6.0,Jeremy_Urquhart
8.0,thesar-2
7.0,A_Different_Drummer
9.0,wellthatswhatithinkanyway
9.0,lisafordeay
7.0,851222
9.0,bowmanblue
8.0,ericstevenson
8.0,jack_o_hasanov_imdb
8.0,masonfisk
10.0,cruise01
7.0,The-Sarkologist
6.0,eddie_baggins
9.0,adamjohns-42575
8.0,jtindahouse
10.0,gianmarcoronconi
7.0,SoumikBanerjee1996
10.0,moviesfilmsreviewsinc
9.0,slightlymad22
9.0,r96sk
8.0,masonsaul
9.0,stevendbeard
8.0,Pairic
10.0,DarkVulcan29
3.0,Neptune165
3.0,Neptune165
7.0,vengeance20
8.0,allmoviesfan
,Special-K88
8.0,andrewchristianjr
,amesmonde
7.0,arungeorge13
8.0,Mysterygeneration
10.0,joiningjt
7.0,Fluke_Skywalker
8.0,TheOneThatYouWanted
10.0,Elvis-Del-Valle
6.0,Kingslaay
7.0,NateWatchesCoolMovies
8.0,rgkarim
8.0,MB-reviewer185
10.0,Holt344
8.0,drlex-15751
8.0,ethanbresnett
8.0,SPZMaxinema
7.0,chand-suhas
9.0,HabibieHakim123
10.0,jared-25331
9.0,vithiet
10.0,AngelHonesty
9.0,reddiemurf81
8.0,Johnny-the-Film-Sentinel-2187
7.0,akshatmahajan
8.0,Jithindurden
6.0,danieljfarthing
8.0,tkdlifemagazine
9.0,mrashtastic89
5.0,jp_91
7.0,JurijFedorov
10.0,Anurag-Shetty
6.0,daisukereds
8.0,PANDIAN120621
8.0,JoshuaMercott
10.0,Hollywood_Yoda
8.0,bankofmarquis
8.0,kjproulx
8.0,ketgup83
7.0,ThurstonHunger
6.0,statuskuo
8.0,rehmankhilji
8.0,KalKenobi83
8.0,aciessi
9.0,destroyerwod
9.0,MrDHWong
7.0,DLochner
7.0,movieman6-413-929510
5.0,namob-43673
9.0,hoernkeem
7.0,ryanpersaud-59415
8.0,alindsayal
7.0,TheTruthofItIs
8.0,sbweightman
5.0,cliftonofun
5.0,MamadNobari97
8.0,jamesjustice-92
8.0,AfricanBro
8.0,RussHog
8.0,kaefab
9.0,abisio
9.0,lakings97
8.0,chera_khalid
5.0,Carycomic
7.0,griffithxjohnson
4.0,chenp-54708
3.0,DarthVoorhees
9.0,DanTheMan2150AD
8.0,renegadeviking-271-528568
9.0,danielmanson
1.0,helenahandbasket-93734
10.0,BrnzReviews
8.0,ivanmessimilos
7.0,pranayjalvi
8.0,andyajoflaherty
8.0,ossie85
10.0,DoNotComeToTheCinemaDepressed
7.0,Movie_Rating_n_Ranking
8.0,d_penn
6.0,brentsbulletinboard
5.0,therealjaysmoke
5.0,TheVictoriousV
7.0,fh147
8.0,DanLawson146
10.0,bhernandez2216
7.0,martinrobertson300482
9.0,alekspredator87
8.0,JonyVeana
8.0,cinemapersonified
8.0,auskooper
10.0,RightOnDaddio
7.0,GregTheStopSign95
8.0,Cinemaniac1984
8.0,ThereelscoopwithKK
10.0,H0kv5
9.0,bbickley13-921-58664
7.0,eagandersongil
8.0,cahidi
8.0,gavinp9
6.0,torrascotia
6.0,kgprophet
8.0,chiragrathod19
8.0,dfle3
7.0,isaacsundaralingam
9.0,mrglenngrant
8.0,koltonbrett
5.0,JackRJosie
5.0,Luv2Spooge
4.0,pensacolacomputer
7.0,steveinadelaide
9.0,higherall7
8.0,comps-784-38265
5.0,markgorman
9.0,sanadalsalt
8.0,MovieWarfare
1.0,theromanempire-1
8.0,gettodamoofies
7.0,daniewhite-1
7.0,natmavila
8.0,thePopcornExplorer
9.0,waltermwilliams
6.0,mickeythechamp
10.0,gabethedinosaur
10.0,toonarly
7.0,PerryAtTheMovies
5.0,Christopher_Reid
10.0,darapjohnson
4.0,nscoby93
6.0,Erik_Stone
7.0,xnicofingerx
7.0,ACollegeStudent
7.0,Lewis_Heather787
6.0,collectorofsorts
7.0,ryanmo-35178
8.0,harishnj
8.0,johnnyhbtvs27
9.0,timeblank
9.0,djrmc24
7.0,cdjh-81125
10.0,judealexharnett
,fluffset
5.0,panta-4
7.0,kenzibit
7.0,davidallenxyz
8.0,garethwooduk
8.0,dangerfox-90110
8.0,tonyvmonte-54973
9.0,NS-movie-reviews
9.0,jkb2012
9.0,mluinstra
2.0,krzysiektom
10.0,Ahmedfadil00
9.0,groundzero-273-397110
9.0,Scar38
6.0,BoBo_Goal32
10.0,parksiet
9.0,fredschaefer-406-623204
8.0,ITALUKE
9.0,pedroquintaoo
5.0,bastille-852-731547
6.0,wisdomwasp
5.0,Aries_Primal
8.0,rohanumpleby-34057
7.0,ladyliliroche
4.0,leonidasoriginal
7.0,agof
4.0,TheNamelessCzar
6.0,Turanic
8.0,Josephpr1990
6.0,justinwfirestone
6.0,Dello_
9.0,berestov
6.0,Democrit
8.0,dorMancyx
8.0,tommy-97761
5.0,tkarlmann
7.0,mitchell5954
8.0,HotDoggyBoomBooM
8.0,donmurray29
2.0,vassiliskounelis
8.0,Svenstadt
8.0,Entertainmentsparadise
10.0,saimariejohnson
9.0,Phil_M_A_Kerr
10.0,donumdei
3.0,jochemunlimited
7.0,Polotovar
7.0,Eric266
10.0,HollisWoods
10.0,gnperuti
8.0,TMAuthor23
7.0,snoducky
10.0,hfreinoso
1.0,Birminghamukengland
10.0,chukkacabra
8.0,ritiksinghal-32110
4.0,brianjohnson-20043
6.0,jordymadueno
8.0,sakram
8.0,saolivaresm
10.0,tranat71
7.0,RebelPanda
8.0,harry-34518
6.0,jamisonslabaugh
8.0,seige-hound
9.0,drawlife
6.0,arsalanweb
6.0,jljacobi
6.0,Denno1972
10.0,pappywatts
3.0,ScorpioDog
8.0,wackoreviews
9.0,kademan-40962
6.0,eprusulis
7.0,kmkevinn-64733
6.0,sinscopefilms
7.0,rchosen-193-5535
8.0,sherwoodbandit-1977
7.0,wolfghostninja
9.0,cutie7
5.0,mbell-56214
10.0,sjo-15
9.0,AliensReservoir
10.0,80sHorror
1.0,phildeesnow
8.0,ta-98251
5.0,Jack_C_
8.0,MovieswDan
2.0,killercola
7.0,Bofsensai
3.0,Hazu29
9.0,brandonmckay8
7.0,moviemanmo973
8.0,olcare
5.0,ijameson
10.0,nicolasroop
7.0,Steve9920
8.0,MrPaull0324
7.0,dschlatter
8.0,vitalymakievsky
7.0,rajvignesh-60140
6.0,bevanaaron
10.0,dtstacey
10.0,phzgnkn
3.0,HasankaDesigner
10.0,drahulrajjsd
9.0,RegalsReelView
6.0,flowirin
7.0,Hammer-Rocks
6.0,Chandru2206J
7.0,SonGoku540
9.0,leonardooliva-16135
8.0,nERDbOX_Dave
9.0,Ed-from-HI
5.0,veritybingo
9.0,nizarsalim
9.0,biba_yu
6.0,TheDestroia
9.0,toonyjakes
7.0,lucaslw-93145
8.0,sohamvhadgir
7.0,ztpbrmhw
8.0,BoulosSoueileh
4.0,TomSawyer-2112
7.0,lilianaoana
10.0,day25
10.0,naroiden
9.0,spmact
8.0,iamianiman
8.0,satin-48250
9.0,mikeballa2001
10.0,stevencsmovies
5.0,alexglimbergwindh
6.0,TomTalksFilms
10.0,mob-96831
8.0,jaredkjacoby
8.0,michvanbeek
,jan-hranac
2.0,carlcasso
6.0,grigoraaakis-889-295918
1.0,mocaler
3.0,gmaileatsyourlunch
8.0,cinephilescientist
8.0,lopresti-46927
10.0,No-Life-101
4.0,MajorBaleegh
2.0,redkyng
5.0,HOLYDIVER575
8.0,mattclap28
8.0,willphelan
9.0,sinahaase-960-743497
7.0,KatieDuncan44
9.0,davidwalker-94471
