,cleaned spiderman noway home,cleaned doctorstrange,cleaned thor love thunder,cleaned black panther,cleaned antman,cleaned deadpool wolverine
007Waffles,6.0,,,3.0,4.0,
11ovz11,10.0,,,,,
18Buddha,,9.0,,,,8.0
3xHCCH,9.0,,,,,
80sHorror,,,10.0,,,
851222,5.0,,7.0,6.0,10.0,4.0
ACollegeStudent,6.0,,7.0,,8.0,
ANastyGorilla,,,8.0,,,
ARTaylor,,,8.0,,,
ASBKnight,,,,,,1.0
A_Different_Drummer,,,7.0,7.0,,5.0
Aaron1375,,,10.0,,10.0,
Abdulxoxo,6.0,6.0,,7.0,,
Abhinav_Sumeet_Kombra,,,8.0,,,
Adam-09265,,,,,8.0,
AdrenalinDragon,5.0,,,,9.0,8.0
AfricanBro,7.0,6.0,8.0,7.0,8.0,7.0
Ahmad_pilehvar,,6.0,,,,
Ahmedfadil00,,9.0,10.0,9.0,10.0,7.0
AliensReservoir,,,9.0,,,
Allierubystein666,,,,9.0,9.0,4.0
Almost_Soldout,,,,,10.0,
AlphaBravoCheesecake,,,,3.0,,
AlsExGal,,,,,8.0,
AngelHonesty,,6.0,10.0,,10.0,
AnimatedCritic/PartTimeCritic,3.0,,,6.0,8.0,3.0
AnnaPagrati,,,,,10.0,7.0
Ansango,,7.0,,,,
Anseldog,,,3.0,,,
Anurag-Shetty,10.0,10.0,10.0,10.0,10.0,10.0
Aoi_kdr,6.0,,,,,
Ar_Pharazon_the_golden,,,,7.0,,
Aretheu,,,9.0,,,
Aries_Primal,,,5.0,,,6.0
AscendeSuperius,,,,9.0,9.0,7.0
Asteri-Atypical,,5.0,,,,
Athanatos173,,,,,,3.0
Atle_O,,,8.0,,,
AudioFileZ,,4.0,,,,
AvidWatcher101,,,,,,8.0
AvionPrince16,7.0,6.0,,6.0,9.0,5.0
Avwillfan89,7.0,2.0,,8.0,9.0,7.0
Aziz24,,,,6.0,8.0,
BA_Harrison,,,2.0,5.0,,
Badr90s,,,,,8.0,
BandSAboutMovies,,7.0,,7.0,10.0,7.0
Batree/btreakle,4.0,,,,9.0,
Batsy1501,8.0,,,,,
BeGerman,9.0,,,,,
Benjamin-M-Weilert,6.0,5.0,,7.0,8.0,7.0
Benslie,9.0,,,,10.0,9.0
Bibliophile100,8.0,,,,,
BigGuy,,,,,7.0,
Bigweight66,,,,,8.0,
BirdzOfParadise,,7.0,,,,
Birminghamukengland,,,1.0,,,
Biswas_,,,,6.0,9.0,
BlackEden,10.0,,,,,
Blazehgehg,,,,7.0,,
Blimplarg,,,5.0,,,
Blumanowar,,,,,7.0,
BoBo_Goal32,,,6.0,,,
Bofsensai/BudoSenpai,,,7.0,,,
BoulosSoueileh,7.0,,8.0,,,5.0
BrnzReviews/Junreviews/msbreviews/PedroReviews/True_Reviews,6.0,10.0,9.0,7.0,8.0,7.0
BrunoRatesTheMovies/PerryAtTheMovies,,,7.0,7.0,9.0,9.0
CANpatbuck3664,,,,9.0,9.0,6.0
CabbageCustard,,,,4.0,,
Camerenth,,,,8.0,,
CarolineFR69,,,,,,4.0
Carycomic,9.0,,5.0,10.0,7.0,5.0
Celewa,,,,,,
Chalice_Of_Evil,,7.0,,8.0,,
Chanandler-Bong,6.0,,,,,
Chance_Boudreaux19,,4.0,,,,
Chandru2206J,,,6.0,,,
ChrisBeaken,,,,6.0,,8.0
Christopher_Reid/christophershobris,1.0,4.0,5.0,5.0,10.0,
CinemaClown,,,,,,
CinemaSerf,6.0,6.0,7.0,,,
Cinemaniac1984,,,8.0,,,
Classic_Boxing_Matches,,6.0,,,,
Cobra_77,,,,10.0,,
ColinTheGorilla,8.0,5.0,,6.0,10.0,5.0
Couchkik20,,,,1.0,,
CountJonnie,,,,,7.0,5.0
Couziambatman,,,8.0,,,
CrazyArty,,,,,7.0,
Criticalstaff,,,,,1.0,3.0
CubsandCulture,,,,6.0,,
CutlasSaber,7.0,,,,,
D4V1D2411,8.0,6.0,,7.0,8.0,5.0
DANTEfromDMC,6.0,,,,,
DLochner,,,7.0,,,
DVR_Brale,,,,,,3.0
DanLawson146,,,8.0,7.0,8.0,8.0
DanTheMan2150AD,,,9.0,,,
Dannyboi94,,,,,10.0,4.0
DarkVulcan29,10.0,9.0,10.0,10.0,10.0,10.0
DarthVoorhees,,,3.0,5.0,9.0,
DarthWalker-34381,,,,7.0,8.0,
Darwinskid,,,,,,
DeBBss,,,,,6.0,
Dello_,,,6.0,6.0,5.0,4.0
Democrit,,,6.0,,,
Denno1972,,,6.0,,,
DiptanshuG,,,,9.0,10.0,7.0
DirkDiamond,,,,,,3.0
DoNotComeToTheCinemaDepressed,9.0,8.0,10.0,10.0,10.0,1.0
DocteurDream,7.0,,,,,
Dodge-Zombie,,,,7.0,,
Dominic_25_,6.0,,,5.0,,4.0
Dory_Darko,,,7.0,,,
DrTuvok,,,,,3.0,
Dr_Mark_ODoherty,,,,,,10.0
DunkelheitVZ,,,,,,1.0
Dylpickle08,,,10.0,,,
EUyeshima,,,,,,6.0
Ed-from-HI,8.0,,9.0,,,
Edvis-1997,,,,,8.0,
EdwardtheBlackPrince,,5.0,,5.0,8.0,
El-Ak,,,,,9.0,
Eli_Elvis,,,,,7.0,1.0
Elvis-Del-Valle,10.0,9.0,10.0,10.0,10.0,9.0
Entertainmentsparadise,7.0,5.0,8.0,7.0,10.0,6.0
ErReads,9.0,,,,,
Eric266,7.0,6.0,7.0,7.0,,6.0
Erik_Stone/Xavier_Stone,,1.0,6.0,,2.0,
EvanKevelson,,,,,,3.0
EvanparkerT,,,5.0,,,
EyeSeesMovies,10.0,,,,,
FallenEye,6.0,,,,,3.0
Fargomoviecritic,4.0,,,,,
Farzad-Doosti,,,,,,3.0
FattyBoomBatty,,4.0,,,,
FeastMode,8.0,6.0,5.0,8.0,9.0,5.0
Feel-the-truth,9.0,,,9.0,,
FilmFanatic2023,,8.0,,,,
Filmdokter,,,,,8.0,
Filmwalla,,5.0,9.0,,,
FinalSmash1689,,,8.0,,,
FinleyKolapo,,6.0,,,,
FireStation46,5.0,,,,,
FixedYourEnding,,,,,4.0,
FlashCallahan,,4.0,6.0,,7.0,
Floated2,4.0,5.0,,7.0,10.0,5.0
Fluke_Skywalker,,,7.0,,,
Foreverisacastironmess123,,,,,,6.0
GT-Lar,,,,6.0,,4.0
Gabmoreno2,,,8.0,,,
GabrielSymes,3.0,,,,,
GalAlba,4.0,,5.0,,,4.0
Geekofriendly,,,8.0,,,
Genkinchan,,,,,9.0,
Genti26,,,,7.0,,
Gilmoregirl-59340,10.0,,,,,
GiraffeDoor,,,,,7.0,
GoUSN,,1.0,,,,
GoldenGooner04,,,,,7.0,
GomezAddams666,,8.0,,10.0,,6.0
Gordon-11,,,,,,
GregTheStopSign95,,6.0,7.0,,,
Grey_rainbow,7.0,7.0,,,,
Groverdox,,,,,7.0,
H0kv5,6.0,7.0,10.0,6.0,,8.0
HOLYDIVER575,9.0,1.0,5.0,,,
HabibieHakim123,5.0,8.0,9.0,10.0,10.0,4.0
HafizhMaulana21,7.0,,,8.0,8.0,7.0
Hammer-Rocks,7.0,,7.0,,,
HardLight,,4.0,,,,3.0
Harlekwin_UK,,8.0,,8.0,,
Harry_Gleeson,,,,,9.0,
HasankaDesigner,,,3.0,,,
Hazu29,,,3.0,,,
Hitchcoc,6.0,,,7.0,,
HollisWoods,,,10.0,,,5.0
Hollywood_Yoda,,,10.0,,,
Holt344,,,10.0,,,
Hope-Earl,10.0,,,,7.0,
Horror_Flick_Fanatic,,,,,9.0,7.0
Horst_In_Translation,6.0,,,6.0,8.0,6.0
HotDoggyBoomBooM,,,8.0,6.0,10.0,7.0
HotHamlet,,,,,,2.0
IPyaarCinema,,,,,4.0,
IQ42,,,,7.0,,5.0
ITALUKE,,,8.0,7.0,8.0,
IWasKnownAsThe1SentenceReviewer,2.0,1.0,,7.0,10.0,
Insane_Man,,,,,1.0,
Insert_Text,7.0,,,,,
IonicBreezeMachine,7.0,6.0,,7.0,8.0,6.0
Irene212,,,,,3.0,
ItsRobinTV,7.0,5.0,,,,
Izzy129,10.0,,,,,
JCinHB,,5.0,,5.0,,
JPHReviews/Junreviews/Padreviews/PedroReviews/JTReviewsPlus,5.0,4.0,8.0,,8.0,
JWick23/wick27,,,4.0,,,
JabezGill,,,,,7.0,
JackCowart34,,6.0,,4.0,,5.0
JackRJosie,,,5.0,3.0,,
Jack_C_,,,5.0,,,
Jackblyth8,,,,,8.0,
Jackbv123,,,,6.0,,3.0
JayDeeezy,8.0,,,7.0,,
JayWolfgramm,6.0,3.0,,6.0,,
Jeremy_Urquhart,8.0,,6.0,7.0,8.0,4.0
Jester222,,,,8.0,,
Jim_E_Cornette,,,4.0,,,
Jimmy_JimJim,,,,5.0,,
Jithindurden,8.0,,8.0,6.0,7.0,7.0
JoBloTheMovieCritic,,,,,9.0,
JoeBobJones,2.0,,,,,
JoelChamp85,,,,,6.0,
JoeyCeee,,,4.0,,,
JohnDeSando,,,,,,
Johnny-the-Film-Sentinel-2187,6.0,5.0,8.0,5.0,10.0,6.0
Jonas1969,,5.0,,,,
Jonathanb-97,8.0,,,,,
JonyVeana,,,8.0,7.0,,7.0
Jorge_Wo,,,8.0,,,
Josephpr1990,,,8.0,,,
JoshuaMercott,7.0,6.0,8.0,8.0,7.0,6.0
Joshumms,,,,8.0,10.0,8.0
Junebug23057,,,7.0,,,
JurijFedorov,4.0,8.0,7.0,6.0,6.0,5.0
KFstudios2009,,5.0,,,8.0,6.0
KalKenobi83,8.0,7.0,8.0,9.0,9.0,8.0
Karamakate,,,10.0,,,
KatieDuncan44,,10.0,7.0,,,8.0
Kazombie,1.0,,,,,
Ketch_Rajath,7.0,,,,,
Kevin-42,,,,,,
KingeOfTheNorthe,7.0,,,,,
Kingslaay,,,6.0,6.0,8.0,6.0
Lefteris-Anagnostopoulos,,,4.0,,,
Lejink,,,,7.0,8.0,
LeoDeLeo,,,,,,3.0
Leofwine_draca,,,8.0,9.0,6.0,6.0
LeonLouisRicci,,6.0,,7.0,,
LetsReviewThat26,6.0,7.0,,6.0,7.0,6.0
Lewis_Heather787,,,7.0,8.0,8.0,
LincolnSixEko,,,,,9.0,
Little-c,2.0,,,,,
Ltufano23,,7.0,,,5.0,6.0
Luce1417,,9.0,,,,
Luv2Spooge,,,5.0,,,
Lythas_85,,,,,,4.0
M0n0_bogdan,,6.0,,,,
MB-reviewer185,7.0,6.0,8.0,7.0,9.0,6.0
MFC9,,,,,10.0,6.0
MJB784,,,,6.0,,5.0
MK_Movie_Reviews/NS-movie-reviews,9.0,,9.0,3.0,7.0,6.0
Mabkid,6.0,,,8.0,,6.0
MackMonMay87,8.0,,,,,
MadamWarden,,,,,,2.0
MajBlade2,,5.0,,,,
MajorBaleegh,,,4.0,,,
MamadNobari97,6.0,4.0,5.0,6.0,,4.0
MandalBros-5,9.0,,,,,
Mar-77,3.0,,,2.0,,
Marcello_Rafiado_,,,,7.0,,
Marco_Nocifora,5.0,,,,,
Mars-3038,9.0,,,,,
Martipee,3.0,1.0,,2.0,3.0,1.0
Matt-Canalcon,8.0,,,,,
Maxax777,,,,,10.0,
Maxyger756,,3.0,,,,
Mcduff3601,,,,,8.0,
Mehki_Girl,7.0,,,,,
Mequias,,,9.0,,,
MickeyTheConstant/mickeythechamp,3.0,1.0,6.0,4.0,7.0,8.0
Mike_Devine,5.0,3.0,,5.0,6.0,3.0
MiroslavKyuranov,8.0,6.0,8.0,,,
MissSimonetta,,,,,8.0,
Misss25,,,,,7.0,5.0
MisterJxroen,9.0,,,,,
MoistMovies,,,,,9.0,
MonsterVision99,,,,,2.0,
Motion-Picture-Watchmen,,,,,,
MovieJunkie1976,,,,6.0,,6.0
MovieWarfare,8.0,5.0,8.0,7.0,9.0,3.0
Movie_Rating_n_Ranking,6.0,6.0,7.0,7.0,8.0,4.0
Moviebuff_Chennai,,,,9.0,,7.0
Moviedude90,,,,4.0,,
MoviesWithX/moviesknight,6.0,,,8.0,8.0,6.0
MovieswDan/allmoviesfan,,,8.0,,,5.0
Mr-Fusion,,5.0,,,,6.0
MrDHWong,8.0,6.0,9.0,8.0,9.0,8.0
MrFilmAndTelevisionShow,,,,,9.0,
MrPaull0324,,,8.0,,,
Mr_Wobbly,7.0,,,,,
MuviFan73,,,,,7.0,
MxS7HGS,,,,,9.0,
Mysterygeneration,6.0,6.0,8.0,6.0,8.0,6.0
N-whymark,,,9.0,,,
NateWatchesCoolMovies,,,7.0,,,
NavyOrion/ayoreinf,4.0,,,,,8.0
Near-L,,,,7.0,,
Neill4797,,5.0,,,,5.0
Neon_Gold,,,,,8.0,
Neptune165/jrneptune,4.0,3.0,3.0,5.0,5.0,3.0
NestorTheGreat,7.0,8.0,,6.0,9.0,9.0
NicolasTheWolf,,,,8.0,10.0,
Nikki-D3,,6.0,,,,
Nikkiangel002,,,7.0,,,
Nixon_Carmichael,,3.0,7.0,,,
No-Life-101,6.0,5.0,10.0,8.0,,4.0
Nob0dy,,,,6.0,,1.0
Nomad007,,,,,,1.0
Norman_French,,,,6.0,8.0,7.0
Nyc_Don_DrKing,8.0,,,,,
OMTR,10.0,8.0,,6.0,10.0,10.0
ObsessiveCinemaDisorder,7.0,,,6.0,,
OldMovieRob/WorldMovie99,,,2.0,5.0,10.0,
OniFR,,,8.0,,,
OnjiMooteDaMarle,,,,,,4.0
OnlyAtJMart,,5.0,8.0,,,
Otkon,,,,,6.0,
PANDIAN120621,,,8.0,,,
PCC0921,,7.0,,,9.0,
Padrion,,,7.0,,,
Pairic,,8.0,8.0,8.0,,8.0
Paragon240,7.0,,,7.0,10.0,7.0
PedroPires90,7.0,,,4.0,6.0,6.0
PetShopBoy2024,,,,1.0,,
Phil_M_A_Kerr,,9.0,9.0,,,9.0
Phillip_Tomasso,4.0,,,,,
Pjtaylor-96-138044,5.0,,6.0,5.0,8.0,4.0
Pnkprinses309,,,,4.0,,
Polotovar,,,7.0,7.0,8.0,7.0
Popcorn-And-Twizzlers,8.0,,,9.0,,
PotassiumMan,9.0,,,10.0,,
Pranali_Patil,,,8.0,,,
Prichards12345,8.0,6.0,,,,
Prismark10,5.0,6.0,7.0,7.0,7.0,
Prophetik/kgprophet,6.0,5.0,6.0,,6.0,
PsychoBeard666,,,,,,4.0
Pukeonthestreet,,,,,,9.0
PyroSikTh,7.0,7.0,,,,
QAlpha007,,,8.0,,,
Quanfa,,,,,,
RRiley9945,5.0,,,,,
RahulM007,,9.0,,9.0,9.0,10.0
RaidersOfTheLostCommunist,,,,,,7.0
Rainbowbeany,,,,8.0,,
Rainman53929,7.0,,,,,
Raja79,,,,1.0,,
Rajit_thebingewatcher,,6.0,,,,
Ratingzzz/Wingzzz,6.0,,,,,
Rayofsun71,,,,9.0,,
RebelPanda,6.0,,7.0,,,
RegalsReelView,,,9.0,,,
Reviews_of_the_Dead,7.0,7.0,,7.0,8.0,7.0
