ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-btn__text
https://www.imdb.com/review/rw9339210/?ref_=tturv_perm_1,More is less,"Sam Raimi returns to film directing after nearly a decade off producing (or directing for TV) with a mixed bag of tricks for Marvel, held together only by the redoubtable Benedict Cumberbatch. His place in film history already secured largely by his ""Evil Dead"" and ""Spider-Man"" achievements, he seems to have fallen prey to the George Lucas syndrome of too early retirement, as far as his first love- directing movies - is concerned.Since I'm not a Marvel fan, I found the early reels more confusing than entertaining, as if we had entered the story and Universe (Marvel, overlapping with other Marvel movies) in progress with little to no respect for viewers unfamiliar with the background -who are properly treating this 2-hour film as a single entity to watch. Though Sam includes much of his trademark flippant comedy and some dramatic moments, the relentless, slam-bang ""look at me!"" overdone special effects are wearying.I memorably (for me) interviewed Bob Tapert, Bruce Campbell and Sam together at my desk at Variety when they were working on ""The Evil Dead"" back in 1981 and was impressed with their enthusiasm about movies. I later recommended Sam be considered to direct the ""Conan the Barbarian"" sequel (he didn't get the job) when interviewing producer Ed Pressman. But I didn't expect Sam to become the sort of director accustomed to having budgets over 600 times larger than the original ""Evil Dead"". ""Multiverse"" merely underscores that often ""less is more"" applies to being a dedicated, true-to-one's-self filmmaker.",1,1,lor_,https://www.imdb.com/user/ur1287548/?ref_=tturv_usr_1_t,24-Sep-23,,,
https://www.imdb.com/review/rw8393653/?ref_=tturv_perm_2,continuation,"Doctor Stephen Strange (Benedict Cumberbatch) tries to suck out the powers of America Chavez (Xochitl Gomez) before she gets taken by a demon. It would have killed her but he fails and is killed himself. She jumps to the prime universe where the prime Strange tries to protect America. He approaches Wanda Maximoff (Elizabeth Olsen) for help but it turns out that she's the one coming after the young girl.This feels like a continuation. One must watch the TV show WandaVision before watching this. More will be coming. With all the Marvel TV, this feels like an episode, just a very epic episode. It's setting up for more to come. I do like the sarcastic humor of Strange. The alternate universe is a good way to introduce new characters and bring back old favorites. Wanda is a scary villain. This is all good but the Marvel universe feels like it's at the setting up stage.",1,1,SnoopyStyle,https://www.imdb.com/user/ur2898520/?ref_=tturv_usr_2_t,2-Aug-22,7,/10,
https://www.imdb.com/review/rw8598341/?ref_=tturv_perm_3,Constantly creative,"Well, I for one really liked this one and feel that it's the best Marvel movie in years. The reason is that Raimi, as always, has vision and isn't afraid to show it, and as always his frenetic powers are well suited to the superhero genre. This one looks and feels different from all the rest and offers a look at the multiverse that's far more satisfying than the one seen in the overrated EVERYWHERE EVERYTHING ALL AT ONCE. Olsen is a fine villain, Cumberbatch an upstanding hero, and the endless CGI effects look and feel fantastic from beginning to end. Plus it's incredibly fast-paced and constantly creative. A joy!",12,7,Leofwine_draca,https://www.imdb.com/user/ur0482513/?ref_=tturv_usr_3_t,9-Oct-22,9,/10,
https://www.imdb.com/review/rw9371616/?ref_=tturv_perm_4,What Was That? What Was That?,"Usually, I done in by my lack of foundation for comic book moves, having no familiarity with those in our time. The first Doctor Strange film did that to me. But now I know the foundation to some extent. This movie seemed to have no order to it. Since there are hundreds of universes, each with their own beings, following a path, it's almost impossible to know who is who and where is where. The choices the Stranges must make are interesting, but the results of those are really difficult to understand. When the movie is over, what exactly is left and which universe are we in? I don't mean to be unkind but beyond the overblown special effects, this is a mess. Do the actors understand it?",1,1,Hitchcoc,https://www.imdb.com/user/ur0278527/?ref_=tturv_usr_4_t,12-Oct-23,7,/10,
https://www.imdb.com/review/rw8123986/?ref_=tturv_perm_5,Seems Rushed For A Two-Hour Movie,,478,197,boblipton,https://www.imdb.com/user/ur1617546/?ref_=tturv_usr_5_t,7-May-22,6,/10,Spoiler
https://www.imdb.com/review/rw8132597/?ref_=tturv_perm_6,Doctor Strange in the Multiverse of Madness,,24,20,Prismark10,https://www.imdb.com/user/ur4569900/?ref_=tturv_usr_6_t,10-May-22,7,/10,Spoiler
https://www.imdb.com/review/rw8138750/?ref_=tturv_perm_7,Book of Madness,"Sam Raimi is back - usually it is not a nice thing to say. Where was he? Was he away? What did he do and so forth ... all things that one has to answer. Maybe he was in a differeren universe (one of the other Multiverses you know?) or somewhere else. But it is just a simple welcome back to the big screens. And I am certain he will be succesful with this outing. Actually the money generated already makes this one of the biggest hits (potentially) of this year.But enough of financial and personal gain (of the director). This is a continuation of the Dr. Strange story - but also a continuation of the story of Wanda Maximoff. The nowadays better know Olson sister of them all. If you have seen Wandavision - which does not seem to be too necessary. It is a nice to know - like there may be also something that might give you some What if callback (Season 1 that is, the only one available right now). On the other hand Sam Raimi also has his usual recurring actor - in a neat small and funny role.So combine the stories (and no Spiderman, though Avengers in general get name checked) and add the Sam Raimi flavor to it. Because there is horror - so much so, that it seems like some viewers felt the need to express this here on imdb by claiming that the violence level is high. Well for a Marvel (MCU) superhero movie you can say that. Do not expect this to be super brutal though.Not much about the story was shared and I avoided most spoilers. Thankfully I did not watch the trailers - there are quite a few moments that are taken away from the first time on the big screen experience. Which was on an Imax screen for me - and in 3D. The effects were quite nice - though having the Avatar 2 trailer playing right before it ... well let's just say that looks monumental. Hopefully that will not take anything away from what some will experience.Back to this for one last time: action starts off from the start, you won't have much time to think about what is happening (which is a good thing, because there are quite a few holes to be found here), there is not enough time to explore all the Multiverses and even with 2 plus hour run time, this does not feel like it is too long - rather the opposite.As usual stay for the scenes during and after the credits. One mid and one after. Both are well worth the wait - revelation wise and the other one because it is just super funny. New characters get introduced here and the Dr. Strange universe gets expanded. I wouldn't mind seeing more of Wong ... very funny and playfully acted by .. Wong. Tempted to watch it a second time in cinemas to be honest ... you may feel the same.",37,49,kosmasp,https://www.imdb.com/user/ur5876717/?ref_=tturv_usr_7_t,13-May-22,9,/10,
https://www.imdb.com/review/rw8768503/?ref_=tturv_perm_8,Nice Adventure,"Doctor Stephen Strange (Benedict Cumberbatch) has a weird dream with a demon chasing a teenager and him. When he wakes up, he goes to the wedding of Dr. Christine Palmer (Rachel McAdams). Out of the blue, an octopus-like monster attacks a bus and Dr. Strange and Wong (Benedict Wong) save a passenger, the teenager of Stephen's dream. After defeating the monster, they learn that she is America Chavez (Xochitl Gomez), and has the ability to travel through multiverses, and the monster was sent to abduct her. Dr. Strange asks Wong to protect Chavez in the Kamar-Taj with the other sorcerers. Then he heads to visit Wanda Maximoff (Elizabeth Olsen) and asks her to help them. But soon he learns that Wanda is the responsible for the attacks since she had acquired the Darkhold and turned into the Scarlet Witch. Now she wants the power of Chavez to meet Tommy and Billy. Dr. Strange refuses to give Chavez to her, Wanda attacks Kamar-Taj and kills many sorcerers and destroys the temple. But Dr. Strange and Chavez accidentally travel through multiverses, chased by the power of the Scarlet Witch.""Doctor Strange in the Multiverse of Madness"" is a nice adventure directed by Sam Raimi. The plot is full of action and special effects top-notch, and is highly entertaining. The conclusion disappoints, with the attitude of the invincible Scarlet Witch, but anyway it is worthwhile watching. My vote is seven.Title (Brazil):"" Doutor Strange no Multiverso da Loucura"" (""Doctor Strange in the Multiverse of Madness 2022"")",13,7,claudio_carvalho,https://www.imdb.com/user/ur2488512/?ref_=tturv_usr_8_t,30-Dec-22,7,/10,
https://www.imdb.com/review/rw8144381/?ref_=tturv_perm_9,All eyes on Strange,,18,58,Horst_In_Translation,https://www.imdb.com/user/ur3914439/?ref_=tturv_usr_9_t,15-May-22,6,/10,Spoiler
https://www.imdb.com/review/rw8150060/?ref_=tturv_perm_10,Its carved in stone,,8,9,nogodnomasters,https://www.imdb.com/user/ur77881167/?ref_=tturv_usr_10_t,16-May-22,7,/10,Spoiler
