ipc-rating-star--rating,ipc-rating-star--maxRating,ipc-title-link-wrapper href,ipc-title__text,ipc-html-content-inner-div,ipc-voting__label__text,ipc-voting__dot-separator,ipc-voting__label__count,ipc-voting__label__count 2,names,ipc-link href,ipc-inline-list__item,ipc-btn__text
7,/10,https://www.imdb.com/review/rw8524910/?ref_=tturv_perm_1,liked it enough,"After suffering a devastating lost, Gorr (Christian Bale) seeks to destroy all the Gods. Thor (Chris Hemsworth) must save the children of New Asgard who have been kidnapped by Gorr. Jane Foster (Natalie Portman) is dying from cancer. She is chosen by Mjolnir to be the Mighty Thor. They are joined by King Valkyrie (Tessa Thompson) and Korg (Taika Waititi). Russell Crowe makes a memorable appearance as Zeus.This is trying very hard to be funny. Sometimes it is funny. Sometimes it's a little awkward. It's a little worst when compared to Ragnarok. I never bought into the Thor and Jane Foster romance. Basically, Jane turns into a girlie puddle in the presence of Chris Hemsworth's muscles. It's fine but it's no Romeo and Juliet. At least in this one, Natalie Portman has many dimensions to play. Her character has so much more. With more daring, this would be a two person journey. Thor could really dig into his relationship with Jane. In the end, I love these characters and I like this movie enough.",Helpful,•,7,12,SnoopyStyle,https://www.imdb.com/user/ur2898520/?ref_=tturv_usr_1_t,8-Sep-22,
6,/10,https://www.imdb.com/review/rw8609244/?ref_=tturv_perm_2,Too much of a good thing,"While I really enjoyed the last THOR film, RAGNAROK, LOVE AND THUNDER proves that you can have too much of a good thing. Waititi goes all out to make an absurdist comedy here and inserts himself into the film way too much, not only co-starring but narrating the darn thing too. And a little of his trademark humour goes a long way, as it turns out. The storyline's okay, Hemsworth is very funny too, but Portman's return is mishandled and her character arc so serious to be completely at odds with the overwhelming goofiness elsewhere. Good CGI and a great Christian Bale can't disguise the all over the place nature of the storyline.",Helpful,•,8,11,Leofwine_draca,https://www.imdb.com/user/ur0482513/?ref_=tturv_usr_2_t,14-Oct-22,
8,/10,https://www.imdb.com/review/rw8321515/?ref_=tturv_perm_3,Silly God/Goat,"Round two ... my internet really pulled one on me. I had the complete review written and then it ... well it went away. So from the start - and probably a bit different than the other review I wrote. A bit like the Thor you get here. Taika reinvented him for Ragnarok - and he even went further with this installment.You have to dig what he does - and his humor too of course. I understand that some do not like the humor. You can't fault the movie technically speaking though. Ask (your) kids - maybe you got a bit weary, but they surely haven't. And the darkness that Christian Bale brings to his role (great as always of course), will not faze them either.Bale who gets introduced first in the movie. Might be a (new) trend for Marvel. Giving us the bad guy, before we see the good guy(s). Moon Knight did the same (Ms. Marvel did not of course), but let's keep an eye out for that.Bales character is not alone when he gets introduced. There is someone with him. And while you may want to forget about it. Bale will not let you. He will keep talking about that character - so much so, that you may get a bit annoyed. But there is a reason (or two, no pun intended) for that.Everyone except Bale can show off their silly side. Adding a bit of gravitas from time to time. But the darker tone and mood is kept for Bale and his character. He may not have much screentime, but the movie called Thor (whoever that might be - you probably have seen the trailer so you have an idea I reckon).But apart from reintroducing characters to us, the movie is also reintroducing the Thor (movie) mythology to us. So if you or the little one you are with or whoever have not seen the previous movies, you get a ""what happened"" at the beginning. Not everything will be rehashed. There is another flashback kept for later in the movie.This is the fourth Thor movie and aside of Hugf Jackman as Wolverine, no one has played a comic book character as long as Chris Hemsworth has. And the latter has gone through quite the transformations. I understand if you are not into the humor.I myself had an issue with another character (that you may already know is in the movie). The portrayal and the accent seemed weird to say the least. But even though I had my own preconceptions about that ... I'll call it character, I understand that Taika only wanted to do his thing. I did not know he was part of the Marvel comic book cannon to be honest, but I am not as involved in the comics as others are.So while there is not much story here (getting from point a to b and all that), there are a lot of cool set pieces. And a lot of weird (Taika) humor. Like him expanding the God universe if you want to call it that. Which is sort of the scene I was talking about above.It all makes sense in the end though and for me the balance between silly and drama did work. You have to suspend your disbelief, maybe drink a little bit of that kool aid and just go with the flow.I for my part am happy Thor is back. At the end of Avengers Endgame, no one seemed to know (apart from Kevin Feige probably), if any of the surviving (and available, no pun intended to the ""old"" man, who passed on ... well you know what) characters would return. So seeing Thor get into the Guardians of the Galaxy ship really made me hope he'd return. I thought it would be in a Guardians movie, but it's them who were in this ... at least for a little bit. A funny little bit that is.And then you have the end credits scenes. People should be aware of them, but still some get up and leave. As with most MCU movies (minus Endgame), you get some bonus and look into the future. One scene during the credits and one after ... both are promising and really great to say the least.So sit back, relax and let the (mostly) lightness wash over you ... it would be a shame if you couldn't. I just had to laugh, because there is a moment where Thor is naked. You don't see a front shot of that, but you do get to see his behind ... uncensored, if that means anything to you. It's another joke and it does work quite well too (no pun intended).Edit: almost completely forgot a few important things. One thing I am surprised by. Well the non reaction from people who are into religion (no matter what kind) that is. Because the movie essentially is critisizing almost everything about religion. It does make fun of Gods ... no pun intended. This is more than the silly depiction of Thor. This is kind of an atheist ... well heaven (another pun I know). It is underlying, but it is not subtle to be honest.And of course the music - Guns N Roses for the win as some might say. Music apparently played a big role during the making of the movie. And if you don't mind classic rock as I reckon people would call it now ... well you could do a lot worse.",Helpful,•,26,32,kosmasp,https://www.imdb.com/user/ur5876717/?ref_=tturv_usr_3_t,10-Jul-22,
6,/10,https://www.imdb.com/review/rw8774194/?ref_=tturv_perm_4,The God Butcher,"The last worshiper of God Rapu, Gorr (Christian Bale), crosses the desert with his daughter that dies of thirsty and starvation. He reaches an oasis and sees Rapu that mistreats Gorr. The powerful Necrosword choses Gorr that beheads Rapu and he promises to kill all the gods. Thor (Chris Hemsworth) and the Guardians of the Galaxy are fighting Sif and Dr. Jane Foster (Natalie Portman) is under treatment of a stage IV cancer on Earth. When Gorr kidnaps all the children of New Asgard, Thor, Jane Foster with Mjolnir, King Valkyrie (Tessa Thompson) and Korg go to the Omnipotence City to ask Zeus (Russel Crowe) to join an army of gods to fight Gorr, but Zeus don't care to his request. Now the quartet needs to fight Gorr to rescue the children and avoid the God Butcher from reaching the Etenity's gate.""Thor: Love and Thunder"" is an adventure that aspires to be funny, but most of the scenes of comedy are unfunny. The adventure is not bad, and Gorr is a creepy villain. The corny conclusion is silly, with Thor raising the daughter of his enemy. The American Jane Foster reaching the Valhalla is hard to be understood. My vote is six.Title (Brazil); ""Thor: Amor e Trovão"" (""Thor: Love and Thunder"")",Helpful,•,2,1,claudio_carvalho,https://www.imdb.com/user/ur2488512/?ref_=tturv_usr_4_t,2-Jan-23,
6,/10,https://www.imdb.com/review/rw8376299/?ref_=tturv_perm_5,Popcorn cinema all the way,,Helpful,•,5,27,Horst_In_Translation,https://www.imdb.com/user/ur3914439/?ref_=tturv_usr_5_t,28-Jul-22,Spoiler
8,/10,https://www.imdb.com/review/rw8388391/?ref_=tturv_perm_6,Welcome to the Jungle,,Helpful,•,13,16,nogodnomasters,https://www.imdb.com/user/ur77881167/?ref_=tturv_usr_6_t,31-Jul-22,Spoiler
7,/10,https://www.imdb.com/review/rw8318316/?ref_=tturv_perm_7,Thor: Love and Hate,,Helpful,•,19,18,BandSAboutMovies,https://www.imdb.com/user/ur69172350/?ref_=tturv_usr_7_t,9-Jul-22,Spoiler
6,/10,https://www.imdb.com/review/rw8525514/?ref_=tturv_perm_8,Good old fashioned fun...,"Initially when I saw the trailer for director Taika Waititi's 2022 ""Thor: Love and Thunder"" movie, then I wasn't overly impressed. And I have to admit that this wasn't a movie that I was going to be rushing out to the cinema to watch.But now that it has become readily available for the streaming masses, of course I opted to watch it. Granted, I am not really much of a superhero movie fan, but I do watch them for their entertainment value. And Marvel Studios do tend to make some entertaining enough superhero-based movies.Writers Taika Waititi and Jennifer Kaytin Robinson managed to put together a very entertaining movie here. And I don't really understand all the grief that this movie has been getting. But hey, I suppose every movie franchise has a group of toxic fans. I was genuinely entertained by ""Thor: Love and Thunder"". And it turned out to be a good combination of archetypical superhero movie mixed with comedy. I liked that particular approach that director Taika Waititi took with this movie.The storyline was good and well-written. It definitely felt like a ""Thor"" movie, and also like something you would find within the pages of a Marvel comic book. So thumbs up on that accomplishment.Something that really impressed me with ""Thor: Love and Thunder"" was the cast ensemble. This movie has so many talents on the cast list, granted lots of them in smaller roles, but it was such a great cast ensemble. But the real stars of the movie were the two giant goats. They just cracked me up.Visually then ""Thor: Love and Thunder"" was everything you would expect from a Marvel Studios movie. Lots of great visuals, vibrant colors, fantastic costume designs, amazing sets, and so forth. So you are in for quite a visual treat here with this movie.As for the music in the movie, well, that was a mixed bag of nuts. The score was good, but the songs in the movie, well, not so much. I just didn't find Guns 'n Roses to be a particularly fitting band for a movie such as this.I am rating ""Thor: Love and Thunder"" a solid six out of ten stars.",Helpful,•,2,7,paul_haakonsen,https://www.imdb.com/user/ur22654354/?ref_=tturv_usr_8_t,8-Sep-22,
6,/10,https://www.imdb.com/review/rw8565295/?ref_=tturv_perm_9,"""So, how you feeling with the old stab wound?""",,Helpful,•,5,5,classicsoncall,https://www.imdb.com/user/ur2707735/?ref_=tturv_usr_9_t,24-Sep-22,Spoiler
5,/10,https://www.imdb.com/review/rw8340074/?ref_=tturv_perm_10,Thor: Love and Thunder,,Helpful,•,11,23,jboothmillard,https://www.imdb.com/user/ur4248714/?ref_=tturv_usr_10_t,16-Jul-22,Spoiler
